Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,25,562.0,518,56.0,119,35,2,16,6,6,33,150,4.55,0.23,0.28,0.398,0.678,206.0,4.0,5.0,1,5,0,8,0.289,100,89,66
Season Totals,Last 7 days,2,44.0,42,6.0,11,3,0,1,1,1,2,13,6.5,0.262,0.296,0.405,0.7,17.0,0.0,0.0,0,0,0,0,0.357,107,104,7
Season Totals,Last 14 days,3,67.0,65,7.0,17,5,0,2,1,1,2,18,9.0,0.262,0.284,0.431,0.714,28.0,0.0,0.0,0,0,0,0,0.333,110,100,10
Season Totals,Last 28 days,4,91.0,89,9.0,24,6,0,2,2,1,2,20,10.0,0.27,0.286,0.405,0.69,36.0,1.0,0.0,0,0,0,0,0.328,104,88,16
Season Totals,Last 365 days,30,675.0,620,65.0,140,43,2,18,6,6,42,179,4.26,0.226,0.278,0.389,0.667,241.0,5.0,5.0,2,6,0,8,0.284,97,,77
Platoon Splits,vs RHB,25,242.0,223,19.0,40,12,0,7,3,3,12,66,5.5,0.179,0.228,0.327,0.556,73.0,3.0,3.0,1,3,0,5,0.216,64,56,21
Platoon Splits,vs LHB,25,320.0,295,34.0,79,23,2,9,3,3,21,84,4.0,0.268,0.319,0.451,0.77,133.0,1.0,2.0,0,2,0,3,0.343,127,112,45
Platoon Splits,vs RHB as RHP,25,242.0,223,19.0,40,12,0,7,3,3,12,66,5.5,0.179,0.228,0.327,0.556,73.0,3.0,3.0,1,3,0,5,0.216,64,60,21
Platoon Splits,vs LHB as RHP,25,320.0,295,34.0,79,23,2,9,3,3,21,84,4.0,0.268,0.319,0.451,0.77,133.0,1.0,2.0,0,2,0,3,0.343,127,108,45
Home or Away,Home,12,269.0,246,31.0,58,19,0,6,4,4,17,72,4.24,0.236,0.287,0.386,0.674,95.0,2.0,2.0,1,3,0,5,0.304,100,91,33
Home or Away,Away,13,293.0,272,25.0,61,16,2,10,2,2,16,78,4.88,0.224,0.273,0.408,0.681,111.0,2.0,3.0,0,2,0,3,0.274,100,87,33
