Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,6,121,111,22.0,35,7,2,7,0,0,5,23,4.6,0.315,0.353,0.604,0.957,67.0,2.0,2.0,1,1,0,0,0.342,100,163,19
Season Totals,Last 7 days,1,9,5,4.0,3,1,0,0,0,0,2,0,0.0,0.6,0.75,0.8,1.55,4.0,0.0,1.0,0,0,0,0,0.6,245,351,2
Season Totals,Last 14 days,2,30,26,6.0,9,2,1,1,0,0,2,7,3.5,0.346,0.414,0.615,1.029,16.0,0.0,1.0,0,0,0,0,0.444,119,183,5
Season Totals,Last 28 days,4,75,68,11.0,19,5,2,1,0,0,3,16,5.33,0.279,0.315,0.456,0.771,31.0,2.0,1.0,1,1,0,0,0.346,65,109,11
Season Totals,Last 365 days,6,121,111,22.0,35,7,2,7,0,0,5,23,4.6,0.315,0.353,0.604,0.957,67.0,2.0,2.0,1,1,0,0,0.342,100,,19
Platoon Splits,vs RHB,6,68,65,13.0,24,4,1,6,0,0,1,16,16.0,0.369,0.397,0.739,1.136,48.0,1.0,2.0,0,0,0,0,0.419,135,214,13
Platoon Splits,vs LHB,6,53,46,9.0,11,3,1,1,0,0,4,7,1.75,0.239,0.294,0.413,0.707,19.0,1.0,0.0,1,1,0,0,0.256,52,94,6
Platoon Splits,vs RHB as RHP,6,68,65,13.0,24,4,1,6,0,0,1,16,16.0,0.369,0.397,0.739,1.136,48.0,1.0,2.0,0,0,0,0,0.419,135,221,13
Platoon Splits,vs LHB as RHP,6,53,46,9.0,11,3,1,1,0,0,4,7,1.75,0.239,0.294,0.413,0.707,19.0,1.0,0.0,1,1,0,0,0.256,52,91,6
Home or Away,Home,2,47,47,7.0,14,1,1,3,0,0,0,11,,0.298,0.298,0.553,0.851,26.0,0.0,0.0,0,0,0,0,0.333,76,137,9
Home or Away,Away,4,74,64,15.0,21,6,1,4,0,0,5,12,2.4,0.328,0.389,0.641,1.03,41.0,2.0,2.0,1,1,0,0,0.347,116,181,10
First or Second Half,1st Half,2,46,43,11.0,16,2,0,6,0,0,2,7,3.5,0.372,0.413,0.837,1.25,36.0,0.0,1.0,0,0,0,0,0.333,156,243,8
First or Second Half,2nd Half,4,75,68,11.0,19,5,2,1,0,0,3,16,5.33,0.279,0.315,0.456,0.771,31.0,2.0,1.0,1,1,0,0,0.346,65,111,11
Months,July,3,71,67,15.0,25,5,1,6,0,0,2,12,6.0,0.373,0.394,0.746,1.141,50.0,2.0,1.0,0,1,0,0,0.38,135,203,13
Months,August,3,50,44,7.0,10,2,1,1,0,0,3,11,3.67,0.227,0.292,0.386,0.678,17.0,0.0,1.0,1,0,0,0,0.281,47,87,6
Game Outcome for Pitcher,in Losses,4,80,72,19.0,28,6,1,6,0,0,4,12,3.0,0.389,0.43,0.75,1.18,54.0,2.0,2.0,0,1,0,0,0.4,146,139,15
Game Outcome for Pitcher,in No Dec.,2,41,39,3.0,7,1,1,1,0,0,1,11,11.0,0.18,0.2,0.333,0.533,13.0,0.0,0.0,1,0,0,0,0.222,12,50,4
Pitching Role,as Starter,6,121,111,22.0,35,7,2,7,0,0,5,23,4.6,0.315,0.353,0.604,0.957,67.0,2.0,2.0,1,1,0,0,0.342,100,160,19
Run Support,0-2 Runs Scored,3,71,68,10.0,18,3,1,2,0,0,1,13,13.0,0.265,0.271,0.427,0.698,29.0,2.0,0.0,1,1,0,0,0.296,47,85,12
Run Support,3-5 Runs Scored,1,9,5,4.0,3,1,0,0,0,0,2,0,0.0,0.6,0.75,0.8,1.55,4.0,0.0,1.0,0,0,0,0,0.6,245,342,2
Run Support,6+ Runs Scored,2,41,38,8.0,14,3,1,5,0,0,2,10,5.0,0.368,0.415,0.895,1.309,34.0,0.0,1.0,0,0,0,0,0.391,166,256,5
Batting Order Positions,Batting 1st,6,16,13,0.0,3,1,0,0,0,0,3,3,1.0,0.231,0.375,0.308,0.683,4.0,1.0,0.0,0,0,0,0,0.3,57,91,2
Batting Order Positions,Batting 2nd,6,16,15,2.0,4,0,1,0,0,0,0,3,,0.267,0.25,0.4,0.65,6.0,0.0,0.0,0,1,0,0,0.308,37,68,3
Batting Order Positions,Batting 3rd,6,14,13,5.0,3,1,0,1,0,0,0,5,,0.231,0.286,0.539,0.824,7.0,0.0,1.0,0,0,0,0,0.286,70,106,1
Batting Order Positions,Batting 4th,6,13,11,0.0,3,0,0,0,0,0,1,2,2.0,0.273,0.333,0.273,0.606,3.0,1.0,0.0,0,0,0,0,0.333,40,70,3
