Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,123,123,520,461,52,109,22,1,16,57,3,3,47,136,0.236,0.31,0.393,0.702,181,10,5,0,7,0,4,0.294,100,97,70
Season Totals,Last 7 days,7,7,31,30,1,7,0,1,0,1,0,0,0,13,0.233,0.258,0.3,0.558,9,1,1,0,0,0,1,0.412,60,64,6
Season Totals,Last 14 days,13,13,56,54,3,15,3,1,0,2,0,0,0,17,0.278,0.286,0.37,0.656,20,2,1,0,1,0,1,0.395,86,85,11
Season Totals,Last 28 days,22,22,96,90,6,25,4,1,1,10,0,0,3,31,0.278,0.313,0.378,0.69,34,2,2,0,1,0,1,0.407,97,91,19
Season Totals,Last 365 days,123,123,520,461,52,109,22,1,16,57,3,3,47,136,0.236,0.31,0.393,0.702,181,10,5,0,7,0,4,0.294,100,,70
Platoon Splits,vs RHP,119,,413,363,39,74,17,0,13,48,3,2,41,112,0.204,0.286,0.358,0.644,130,9,3,0,6,0,3,0.25,83,82,44
Platoon Splits,vs LHP,53,,107,98,13,35,5,1,3,9,0,1,6,24,0.357,0.402,0.52,0.922,51,1,2,0,1,0,1,0.444,162,157,26
Platoon Splits,vs RHP as RHB,119,,413,363,,74,17,0,13,48,0,0,41,112,0.204,0.286,0.358,0.644,130,9,3,0,6,0,3,0.25,83,87,44
Platoon Splits,vs LHP as RHB,53,,107,98,,35,5,1,3,9,0,0,6,24,0.357,0.402,0.52,0.922,51,1,2,0,1,0,1,0.444,162,151,26
Platoon Splits,vs RH Starter,97,97,409,364,36,76,17,0,13,47,3,2,36,111,0.209,0.281,0.363,0.644,132,8,3,0,6,0,3,0.256,83,81,46
Platoon Splits,vs LH Starter,26,26,111,97,16,33,5,1,3,10,0,1,11,25,0.34,0.414,0.505,0.92,49,2,2,0,1,0,1,0.429,162,158,24
Home or Away,Home,66,66,276,242,25,53,13,0,7,29,1,1,28,77,0.219,0.304,0.36,0.664,87,6,3,0,3,0,2,0.286,90,85,33
Home or Away,Away,57,57,244,219,27,56,9,1,9,28,2,2,19,59,0.256,0.316,0.429,0.745,94,4,2,0,4,0,2,0.303,111,111,37
First or Second Half,1st Half,93,93,391,342,44,78,17,0,14,44,3,3,41,99,0.228,0.312,0.401,0.713,137,8,3,0,5,0,3,0.274,103,101,47
First or Second Half,2nd Half,30,30,129,119,8,31,5,1,2,13,0,0,6,37,0.261,0.302,0.37,0.672,44,2,2,0,2,0,1,0.354,92,86,23
Months,April/March,30,30,129,121,19,33,6,0,7,23,2,1,7,29,0.273,0.31,0.496,0.806,60,1,0,0,1,0,2,0.302,126,128,20
Months,May,26,26,111,92,11,24,4,0,4,11,0,2,16,25,0.261,0.36,0.435,0.795,40,1,0,0,3,0,0,0.303,127,129,16
