Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,124,527,479,66,126,26,1,26,80,6,2,41,149,0.263,0.327,0.484,0.811,232,7,5,0,1,1,6,0.328,100,125,73
Season Totals,Last 7 days,6,6,24,22,0,2,0,0,0,1,0,0,2,10,0.091,0.167,0.091,0.258,2,0,0,0,0,0,0,0.167,-30,-22,2
Season Totals,Last 14 days,12,12,52,48,6,10,3,0,1,6,1,0,4,19,0.208,0.269,0.333,0.603,16,1,0,0,0,0,0,0.321,51,67,6
Season Totals,Last 28 days,24,24,104,96,15,23,6,0,5,13,2,0,7,32,0.24,0.298,0.458,0.756,44,1,1,0,0,0,0,0.305,86,104,12
Season Totals,Last 365 days,161,161,689,627,84,166,30,1,34,107,8,2,51,201,0.265,0.326,0.479,0.804,300,8,7,0,3,1,8,0.334,99,,101
Platoon Splits,vs RHP,117,,398,360,46,92,19,1,16,55,5,1,32,118,0.256,0.322,0.447,0.77,161,3,4,0,1,0,5,0.335,91,115,56
Platoon Splits,vs LHP,60,,129,119,20,34,7,0,10,25,1,1,9,31,0.286,0.341,0.597,0.938,71,4,1,0,0,1,1,0.308,128,156,17
Platoon Splits,vs RHP as RHB,117,,398,360,,92,19,1,16,55,0,0,32,118,0.256,0.322,0.447,0.77,161,3,4,0,1,0,5,0.335,91,122,56
Platoon Splits,vs LHP as RHB,60,,129,119,,34,7,0,10,25,0,0,9,31,0.286,0.341,0.597,0.938,71,4,1,0,0,1,1,0.308,128,150,17
Platoon Splits,vs RH Starter,85,85,361,326,39,77,16,1,14,42,4,1,30,109,0.236,0.308,0.42,0.728,137,3,4,0,1,1,5,0.309,81,104,46
Platoon Splits,vs LH Starter,39,39,166,153,27,49,10,0,12,38,2,1,11,40,0.32,0.37,0.621,0.991,95,4,1,0,0,0,1,0.366,142,173,27
Home or Away,Home,62,62,256,230,30,62,10,0,16,42,1,2,23,64,0.27,0.341,0.522,0.863,120,4,2,0,0,1,2,0.307,112,136,36
Home or Away,Away,62,62,271,249,36,64,16,1,10,38,5,0,18,85,0.257,0.314,0.45,0.764,112,3,3,0,1,0,4,0.348,89,116,37
First or Second Half,1st Half,95,95,402,364,48,95,19,1,19,62,4,2,32,113,0.261,0.327,0.475,0.802,173,6,4,0,1,1,6,0.326,98,125,56
