Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,91,89,362,345,42,75,15,2,9,45,1,2,10,72,0.217,0.249,0.351,0.599,121,8,5,0,2,0,4,0.248,100,67,49
Season Totals,Last 7 days,4,4,16,16,1,4,1,0,0,2,0,0,0,5,0.25,0.25,0.313,0.563,5,0,0,0,0,0,0,0.364,90,65,3
Season Totals,Last 14 days,4,4,16,16,1,4,1,0,0,2,0,0,0,5,0.25,0.25,0.313,0.563,5,0,0,0,0,0,0,0.364,90,59,3
Season Totals,Last 28 days,4,4,16,16,1,4,1,0,0,2,0,0,0,5,0.25,0.25,0.313,0.563,5,0,0,0,0,0,0,0.364,90,55,3
Season Totals,Last 365 days,125,123,506,483,54,109,18,3,13,55,5,5,15,99,0.226,0.257,0.356,0.613,172,10,6,0,2,0,5,0.257,105,,75
Platoon Splits,vs RHP,87,,267,255,32,58,11,2,7,34,1,2,6,54,0.228,0.258,0.369,0.627,94,6,5,0,1,0,4,0.262,109,75,38
Platoon Splits,vs LHP,44,,95,90,10,17,4,0,2,11,0,0,4,18,0.189,0.221,0.3,0.521,27,2,0,0,1,0,0,0.211,74,45,11
Platoon Splits,vs RHP as RHB,87,,267,255,,58,11,2,7,34,0,0,6,54,0.228,0.258,0.369,0.627,94,6,5,0,1,0,4,0.262,109,80,38
Platoon Splits,vs LHP as RHB,44,,95,90,,17,4,0,2,11,0,0,4,18,0.189,0.221,0.3,0.521,27,2,0,0,1,0,0,0.211,74,41,11
Platoon Splits,vs RH Starter,63,62,250,237,32,56,12,2,7,34,1,2,8,50,0.236,0.272,0.392,0.664,93,6,4,0,1,0,4,0.271,121,85,35
Platoon Splits,vs LH Starter,28,27,112,108,10,19,3,0,2,11,0,0,2,22,0.176,0.196,0.259,0.456,28,2,1,0,1,0,0,0.2,53,27,14
Home or Away,Home,47,46,181,178,19,38,6,1,3,18,0,1,2,35,0.214,0.221,0.309,0.53,55,4,0,0,1,0,1,0.248,77,46,28
