Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,19,401.0,368,34.0,85,11,1,13,3,4,25,85,3.4,0.231,0.288,0.372,0.661,137.0,10.0,5.0,2,1,0,3,0.266,100,85,60
Season Totals,Last 7 days,1,26.0,25,4.0,8,1,0,0,0,0,1,1,1.0,0.32,0.346,0.36,0.706,9.0,1.0,0.0,0,0,0,0,0.333,117,106,7
Season Totals,Last 14 days,2,52.0,51,4.0,11,1,0,0,0,0,1,10,10.0,0.216,0.231,0.235,0.466,12.0,1.0,0.0,0,0,0,1,0.268,43,31,10
Season Totals,Last 28 days,4,88.0,82,6.0,18,3,0,2,0,1,3,17,5.67,0.22,0.273,0.329,0.602,27.0,3.0,3.0,0,0,0,1,0.254,83,65,13
Season Totals,Last 365 days,19,401.0,368,34.0,85,11,1,13,3,4,25,85,3.4,0.231,0.288,0.372,0.661,137.0,10.0,5.0,2,1,0,3,0.266,100,,60
Platoon Splits,vs RHB,19,206.0,193,13.0,37,6,0,7,3,3,9,50,5.56,0.192,0.239,0.332,0.571,64.0,6.0,3.0,1,0,0,1,0.221,72,61,24
Platoon Splits,vs LHB,19,195.0,175,18.0,48,5,1,6,0,1,16,35,2.19,0.274,0.34,0.417,0.757,73.0,4.0,2.0,1,1,0,2,0.311,130,110,36
Platoon Splits,vs RHB as RHP,19,206.0,193,13.0,37,6,0,7,3,3,9,50,5.56,0.192,0.239,0.332,0.571,64.0,6.0,3.0,1,0,0,1,0.221,72,64,24
Platoon Splits,vs LHB as RHP,19,195.0,175,18.0,48,5,1,6,0,1,16,35,2.19,0.274,0.34,0.417,0.757,73.0,4.0,2.0,1,1,0,2,0.311,130,107,36
Home or Away,Home,9,205.0,188,19.0,43,7,0,7,0,2,11,46,4.18,0.229,0.289,0.378,0.667,71.0,5.0,5.0,1,0,0,2,0.267,102,90,29
Home or Away,Away,10,196.0,180,15.0,42,4,1,6,3,2,14,39,2.79,0.233,0.287,0.367,0.654,66.0,5.0,0.0,1,1,0,1,0.265,98,81,31
First or Second Half,1st Half,14,289.0,264,25.0,61,8,1,10,2,3,20,62,3.1,0.231,0.289,0.383,0.672,101.0,6.0,2.0,2,1,0,2,0.264,103,89,42
First or Second Half,2nd Half,5,112.0,104,9.0,24,3,0,3,1,1,5,23,4.6,0.231,0.286,0.346,0.632,36.0,4.0,3.0,0,0,0,1,0.269,92,75,18
Months,April/March,2,39.0,38,5.0,9,1,0,3,0,1,1,9,9.0,0.237,0.256,0.5,0.756,19.0,0.0,0.0,0,0,0,0,0.231,123,111,5
Months,May,5,78.0,67,11.0,20,2,1,4,2,2,9,18,2.0,0.299,0.385,0.537,0.922,36.0,1.0,1.0,0,1,0,1,0.348,178,164,13
Months,June,5,118.0,108,5.0,20,2,0,2,0,0,8,24,3.0,0.185,0.248,0.259,0.507,28.0,4.0,1.0,1,0,0,1,0.22,56,43,16
