Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,85,77,304,272,42,68,13,0,12,38,4,0,28,65,0.25,0.322,0.43,0.753,117,12,2,0,2,0,1,0.284,100,110,43
Season Totals,Last 7 days,6,5,21,20,4,7,3,0,1,3,0,0,1,7,0.35,0.381,0.65,1.031,13,0,0,0,0,0,0,0.5,170,196,3
Season Totals,Last 14 days,11,9,38,36,6,9,4,0,1,3,0,0,2,12,0.25,0.29,0.444,0.734,16,1,0,0,0,0,0,0.348,93,105,4
Season Totals,Last 28 days,19,15,66,60,13,16,4,0,1,5,2,0,6,17,0.267,0.333,0.383,0.717,23,1,0,0,0,0,0,0.357,93,98,11
Season Totals,Last 365 days,93,81,328,293,45,72,14,0,14,46,4,0,31,70,0.246,0.32,0.437,0.757,128,13,2,0,2,0,1,0.275,101,,44
Platoon Splits,vs RHP,84,,288,257,39,66,13,0,12,37,4,0,28,59,0.257,0.33,0.448,0.777,115,12,1,0,2,0,1,0.287,106,118,41
Platoon Splits,vs LHP,13,,16,15,3,2,0,0,0,1,0,0,0,6,0.133,0.188,0.133,0.321,2,0,1,0,0,0,0,0.222,-11,-7,2
Platoon Splits,vs RHP as LHB,84,,288,257,,66,13,0,12,37,0,0,28,59,0.257,0.33,0.448,0.777,115,12,1,0,2,0,1,0.287,106,111,41
Platoon Splits,vs LHP as LHB,13,,16,15,,2,0,0,0,1,0,0,0,6,0.133,0.188,0.133,0.321,2,0,1,0,0,0,0,0.222,-11,-2,2
Platoon Splits,vs RH Starter,76,76,290,259,42,64,11,0,12,38,4,0,28,61,0.247,0.321,0.429,0.749,111,12,1,0,2,0,1,0.277,100,110,41
Platoon Splits,vs LH Starter,9,1,14,13,0,4,2,0,0,0,0,0,0,4,0.308,0.357,0.462,0.819,6,0,1,0,0,0,0,0.444,118,129,2
Home or Away,Home,44,43,156,136,25,32,6,0,6,21,0,0,16,39,0.235,0.321,0.412,0.732,56,9,2,0,2,0,1,0.28,96,103,20
Home or Away,Away,41,34,148,136,17,36,7,0,6,17,4,0,12,26,0.265,0.324,0.449,0.773,61,3,0,0,0,0,0,0.289,105,119,23
First or Second Half,1st Half,60,57,218,197,25,49,8,0,9,30,2,0,19,45,0.249,0.312,0.426,0.738,84,10,0,0,2,0,1,0.276,96,107,32
First or Second Half,2nd Half,25,20,86,75,17,19,5,0,3,8,2,0,9,20,0.253,0.349,0.44,0.789,33,2,2,0,0,0,0,0.308,111,118,11
Months,April/March,10,10,38,33,8,13,2,0,2,8,0,0,4,8,0.394,0.447,0.636,1.084,21,0,0,0,1,0,0,0.458,187,208,9
Months,May,19,19,69,64,6,13,0,0,3,9,0,0,5,14,0.203,0.261,0.344,0.605,22,3,0,0,0,0,1,0.213,61,74,10
Months,June,21,20,76,71,7,17,5,0,3,11,2,0,4,11,0.239,0.276,0.437,0.713,31,6,0,0,1,0,0,0.241,87,96,9
