Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,29,29,121,105,16,29,4,0,7,14,0,1,16,36,0.276,0.372,0.514,0.886,54,2,0,0,0,2,0,0.355,100,147,18
Season Totals,Last 7 days,6,6,26,22,3,9,1,0,1,4,0,0,4,8,0.409,0.5,0.591,1.091,13,0,0,0,0,0,0,0.615,149,220,7
Season Totals,Last 14 days,7,7,31,27,4,10,1,0,1,4,0,0,4,10,0.37,0.452,0.519,0.97,14,0,0,0,0,0,0,0.563,123,176,8
Season Totals,Last 28 days,7,7,31,27,4,10,1,0,1,4,0,0,4,10,0.37,0.452,0.519,0.97,14,0,0,0,0,0,0,0.563,123,169,8
Season Totals,Last 365 days,49,47,204,175,27,52,9,0,11,30,0,1,29,56,0.297,0.397,0.537,0.934,94,2,0,0,0,2,1,0.38,111,,32
Platoon Splits,vs RHP,26,,85,74,11,20,2,0,5,11,0,1,11,24,0.27,0.365,0.5,0.865,37,0,0,0,0,2,0,0.333,95,142,13
Platoon Splits,vs LHP,19,,36,31,5,9,2,0,2,3,0,0,5,12,0.29,0.389,0.548,0.937,17,2,0,0,0,0,0,0.412,111,160,5
Platoon Splits,vs RHP as LHB,26,,85,74,,20,2,0,5,11,0,0,11,24,0.27,0.365,0.5,0.865,37,0,0,0,0,2,0,0.333,95,135,13
Platoon Splits,vs LHP as LHB,19,,36,31,,9,2,0,2,3,0,0,5,12,0.29,0.389,0.548,0.937,17,2,0,0,0,0,0,0.412,111,178,5
Platoon Splits,vs RH Starter,22,22,94,83,11,23,4,0,5,11,0,1,11,26,0.277,0.362,0.506,0.868,42,1,0,0,0,0,0,0.346,96,142,14
Platoon Splits,vs LH Starter,7,7,27,22,5,6,0,0,2,3,0,0,5,10,0.273,0.407,0.546,0.953,12,1,0,0,0,2,0,0.4,115,166,4
Home or Away,Home,11,11,45,40,6,11,3,0,4,6,0,1,5,14,0.275,0.356,0.65,1.006,26,1,0,0,0,1,0,0.318,122,172,4
Home or Away,Away,18,18,76,65,10,18,1,0,3,8,0,0,11,22,0.277,0.382,0.431,0.812,28,1,0,0,0,1,0,0.375,87,133,14
First or Second Half,1st Half,22,22,90,78,12,19,3,0,6,10,0,1,12,26,0.244,0.344,0.513,0.857,40,2,0,0,0,2,0,0.283,92,140,10
First or Second Half,2nd Half,7,7,31,27,4,10,1,0,1,4,0,0,4,10,0.37,0.452,0.519,0.97,14,0,0,0,0,0,0,0.563,123,170,8
Months,April/March,22,22,90,78,12,19,3,0,6,10,0,1,12,26,0.244,0.344,0.513,0.857,40,2,0,0,0,2,0,0.283,92,143,10
Months,August,7,7,31,27,4,10,1,0,1,4,0,0,4,10,0.37,0.452,0.519,0.97,14,0,0,0,0,0,0,0.563,123,171,8
Game Outcome for Team,in Wins,16,16,67,56,11,18,1,0,5,11,0,0,11,17,0.321,0.433,0.607,1.04,34,1,0,0,0,2,0,0.382,135,149,12
Game Outcome for Team,in Losses,13,13,54,49,5,11,3,0,2,3,0,1,5,19,0.225,0.296,0.408,0.705,20,1,0,0,0,0,0,0.321,59,138,6
Starter or Substitute,as Starter,29,29,121,105,16,29,4,0,7,14,0,1,16,36,0.276,0.372,0.514,0.886,54,2,0,0,0,2,0,0.355,100,147,18
Defensive Positions,as 1B,29,,117,103,15,28,4,0,7,14,0,1,14,35,0.272,0.359,0.515,0.874,53,2,0,0,0,1,0,0.344,97,138,17
Defensive Positions,as DH,1,,4,2,1,1,0,0,0,0,0,0,2,1,0.5,0.75,0.5,1.25,1,0,0,0,0,1,0,1.0,199,249,1
Leading Off Inning,Leadoff Inn.,18,,31,23,,8,1,0,1,1,,,8,8,0.348,0.516,0.522,1.038,12,0,0,0,0,0,0,0.5,140,202,6
Batting Order Positions,Batting 2nd,1,1,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.5,-7,7,1
Batting Order Positions,Batting 3rd,6,6,26,22,3,8,1,0,1,4,0,0,4,9,0.364,0.462,0.546,1.007,12,0,0,0,0,0,0,0.583,130,160,6
Batting Order Positions,Batting 4th,16,16,65,56,10,15,3,0,5,9,0,1,9,14,0.268,0.369,0.589,0.959,33,2,0,0,0,1,0,0.27,114,156,7
Batting Order Positions,Batting 5th,1,1,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 6th,3,3,13,10,2,3,0,0,1,1,0,0,3,5,0.3,0.462,0.6,1.062,6,0,0,0,0,1,0,0.5,141,209,2
Batting Order Positions,Batting 7th,2,2,8,8,1,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,2,0,0,0,0,0,0,0.4,16,47,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,20,,29,28,,7,1,0,1,2,,,1,7,0.25,0.276,0.393,0.669,11,0,0,0,0,0,0,0.3,51,91,5
Swung or Took First Pitch of PA,Took 1st Pitch,29,,92,77,,22,3,0,6,12,,,15,29,0.286,0.402,0.558,0.961,43,2,0,0,0,2,0,0.381,117,167,13
Count/Balls-Strikes,First Pitch,10,,11,11,4,6,1,0,1,1,0,0,0,0,0.546,0.546,0.909,1.455,10,0,0,0,0,0,0,0.5,223,222,4
Count/Balls-Strikes,1-0 Count,8,,8,8,2,3,0,0,2,3,0,0,0,0,0.375,0.375,1.125,1.5,9,0,0,0,0,0,0,0.167,220,206,1
Count/Balls-Strikes,2-0 Count,2,,2,2,1,1,0,0,1,2,0,0,0,0,0.5,0.5,2.0,2.5,4,0,0,0,0,0,0,0.0,424,369,0
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,2,0,,,,0
Count/Balls-Strikes,0-1 Count,12,,14,14,2,6,1,0,1,3,0,0,0,0,0.429,0.429,0.714,1.143,10,0,0,0,0,0,0,0.385,154,169,4
Count/Balls-Strikes,1-1 Count,5,,5,5,1,3,0,0,1,2,0,0,0,0,0.6,0.6,1.2,1.8,6,1,0,0,0,0,0,0.5,295,313,2
Count/Balls-Strikes,2-1 Count,5,,5,5,1,4,1,0,1,2,0,0,0,0,0.8,0.8,1.6,2.4,8,0,0,0,0,0,0,0.75,426,408,2
Count/Balls-Strikes,3-1 Count,4,,4,1,1,1,0,0,0,0,0,0,3,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,363,200,1
Count/Balls-Strikes,0-2 Count,8,,8,8,1,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Count/Balls-Strikes,1-2 Count,13,,16,16,2,2,0,0,0,0,0,0,0,10,0.125,0.125,0.125,0.25,2,0,0,0,0,0,0,0.333,-42,25,2
Count/Balls-Strikes,2-2 Count,18,,20,20,1,1,1,0,0,0,0,0,0,12,0.05,0.05,0.1,0.15,2,1,0,0,0,0,0,0.125,-67,-35,0
Count/Balls-Strikes,Full Count,22,,25,15,0,2,0,0,0,0,0,1,10,9,0.133,0.48,0.133,0.613,2,0,0,0,0,0,0,0.333,55,46,2
Count/Balls-Strikes,After 1-0,28,,57,45,,13,1,0,5,9,,,12,17,0.289,0.439,0.644,1.083,29,0,0,0,0,2,0,0.348,143,167,7
Count/Balls-Strikes,After 2-0,14,,16,9,,4,1,0,1,3,,,7,2,0.444,0.688,0.889,1.576,8,0,0,0,0,2,0,0.5,258,230,2
Count/Balls-Strikes,After 3-0,4,,4,0,,0,0,0,0,0,,,4,0,,1.0,,,0,0,0,0,0,2,0,,,,0
Count/Balls-Strikes,After 0-1,26,,53,49,,10,2,0,1,4,,,4,19,0.204,0.264,0.306,0.57,15,2,0,0,0,0,0,0.31,31,90,7
Count/Balls-Strikes,After 1-1,26,,51,44,,9,1,0,2,3,,,7,24,0.205,0.314,0.364,0.677,16,2,0,0,0,0,0,0.389,55,105,6
Count/Balls-Strikes,After 2-1,21,,32,25,,8,2,0,1,2,,,7,12,0.32,0.469,0.52,0.989,13,1,0,0,0,0,0,0.583,127,152,5
Count/Balls-Strikes,After 3-1,12,,13,8,,2,0,0,0,0,,,5,5,0.25,0.539,0.25,0.789,2,0,0,0,0,0,0,0.667,93,49,2
Count/Balls-Strikes,After 0-2,16,,21,19,,1,0,0,0,1,,,2,10,0.053,0.143,0.053,0.196,1,0,0,0,0,0,0,0.111,-51,-7,1
Count/Balls-Strikes,After 1-2,22,,37,32,,2,0,0,0,0,,,5,19,0.063,0.189,0.063,0.252,2,0,0,0,0,0,0,0.154,-37,7,2
Count/Balls-Strikes,After 2-2,24,,36,28,,2,1,0,0,0,,,8,16,0.071,0.278,0.107,0.385,3,1,0,0,0,0,0,0.167,-5,33,1
