Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,67,53,226,207,38,62,12,2,14,28,14,3,15,67,0.3,0.354,0.58,0.934,120,2,3,0,1,0,1,0.378,100,158,34
Season Totals,Last 7 days,6,6,26,24,1,4,1,0,0,1,0,1,2,11,0.167,0.231,0.208,0.439,5,0,0,0,0,0,0,0.308,1,31,3
Season Totals,Last 14 days,12,12,54,50,4,13,3,0,2,4,4,1,3,17,0.26,0.296,0.44,0.736,22,0,0,0,1,0,0,0.344,60,106,8
Season Totals,Last 28 days,25,25,111,104,14,28,6,0,6,10,7,1,4,34,0.269,0.306,0.5,0.806,52,1,2,0,1,0,0,0.339,73,118,16
Season Totals,Last 365 days,77,63,260,239,41,69,14,2,16,33,16,3,17,77,0.289,0.342,0.565,0.907,135,2,3,0,1,0,1,0.361,94,,37
Platoon Splits,vs RHP,52,,129,118,21,32,6,1,9,15,7,2,9,42,0.271,0.333,0.568,0.901,67,1,2,0,0,0,1,0.343,92,149,16
Platoon Splits,vs LHP,41,,97,89,17,30,6,1,5,13,7,1,6,25,0.337,0.381,0.596,0.977,53,1,1,0,1,0,0,0.417,110,169,18
Platoon Splits,vs RHP as RHB,52,,129,118,,32,6,1,9,15,0,0,9,42,0.271,0.333,0.568,0.901,67,1,2,0,0,0,1,0.343,92,156,16
Platoon Splits,vs LHP as RHB,41,,97,89,,30,6,1,5,13,0,0,6,25,0.337,0.381,0.596,0.977,53,1,1,0,1,0,0,0.417,110,162,18
Platoon Splits,vs RH Starter,38,24,110,99,20,27,6,1,7,11,4,2,8,37,0.273,0.346,0.566,0.911,56,0,3,0,0,0,0,0.364,95,152,13
Platoon Splits,vs LH Starter,29,29,116,108,18,35,6,1,7,17,10,1,7,30,0.324,0.362,0.593,0.955,64,2,0,0,1,0,1,0.389,105,164,21
Home or Away,Home,35,27,113,108,22,32,6,0,7,13,7,1,4,32,0.296,0.319,0.546,0.865,59,1,0,0,1,0,1,0.357,84,135,19
Home or Away,Away,32,26,113,99,16,30,6,2,7,15,7,2,11,35,0.303,0.389,0.616,1.006,61,1,3,0,0,0,0,0.404,116,182,15
First or Second Half,1st Half,35,21,86,79,14,22,4,1,2,7,7,1,6,28,0.279,0.337,0.43,0.768,34,1,1,0,0,0,1,0.408,69,116,15
First or Second Half,2nd Half,32,32,140,128,24,40,8,1,12,21,7,2,9,39,0.313,0.364,0.672,1.036,86,1,2,0,1,0,0,0.359,119,179,19
Months,April/March,15,9,34,32,6,10,3,1,1,3,4,1,1,12,0.313,0.353,0.563,0.915,18,0,1,0,0,0,0,0.474,97,159,5
Months,May,9,5,26,24,3,4,1,0,0,1,0,0,2,10,0.167,0.231,0.208,0.439,5,1,0,0,0,0,0,0.286,1,29,3
Months,June,7,4,16,14,3,6,0,0,0,0,2,0,2,2,0.429,0.5,0.429,0.929,6,0,0,0,0,0,1,0.5,115,165,6
Months,July,16,15,59,53,13,17,2,1,8,15,1,1,6,17,0.321,0.39,0.849,1.239,45,0,0,0,0,0,0,0.321,157,227,6
Months,August,20,20,91,84,13,25,6,0,5,9,7,1,4,26,0.298,0.341,0.548,0.888,46,1,2,0,1,0,0,0.37,91,143,14
Game Outcome for Team,in Wins,32,27,121,109,28,39,7,0,8,15,10,3,9,28,0.358,0.413,0.642,1.055,70,1,2,0,1,0,1,0.419,127,151,24
Game Outcome for Team,in Losses,35,26,105,98,10,23,5,2,6,13,4,0,6,39,0.235,0.286,0.51,0.796,50,1,1,0,0,0,0,0.321,69,166,10
Starter or Substitute,as Starter,53,53,214,196,34,60,11,2,14,28,12,3,14,63,0.306,0.36,0.597,0.957,117,2,3,0,1,0,1,0.383,105,164,33
Starter or Substitute,as Sub,14,0,12,11,4,2,1,0,0,0,2,0,1,4,0.182,0.25,0.273,0.523,3,0,0,0,0,0,0,0.286,18,59,1
Defensive Positions,as 1B,1,,4,4,0,1,0,0,0,2,1,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0,0,0.333,14,39,1
Defensive Positions,as 2B,5,,15,14,3,3,0,0,1,1,1,0,1,4,0.214,0.267,0.429,0.695,6,0,0,0,0,0,1,0.222,49,102,2
Defensive Positions,as SS,42,,171,155,29,50,10,2,13,23,8,3,12,50,0.323,0.38,0.665,1.045,103,1,3,0,1,0,0,0.398,122,178,25
Defensive Positions,as LF,3,,9,8,,2,0,0,0,1,0,0,1,4,0.25,0.333,0.25,0.583,2,0,0,0,0,0,0,0.5,37,69,2
Defensive Positions,as CF,8,,24,24,4,6,2,0,0,1,2,0,0,6,0.25,0.25,0.333,0.583,8,1,0,0,0,0,0,0.333,28,67,4
Defensive Positions,as PH,3,,3,2,,0,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,,-6,13,0
Defensive Positions,as PR,,,,,2,,,,,,2,0,,,,,,,,,,,,,,,,,
Leading Off Inning,1st Batter G,18,,18,16,,6,3,0,2,2,,,2,4,0.375,0.444,0.938,1.382,15,0,0,0,0,0,0,0.4,187,272,1
Leading Off Inning,Leadoff Inn.,43,,71,67,,24,5,0,6,6,,,3,15,0.358,0.394,0.702,1.096,47,0,1,0,0,0,0,0.391,132,207,13
Batting Order Positions,Batting 1st,19,17,83,78,10,23,7,0,4,7,8,1,4,21,0.295,0.325,0.539,0.864,42,1,0,0,1,0,0,0.352,85,132,12
Batting Order Positions,Batting 2nd,5,4,19,18,8,7,0,1,3,7,0,0,0,6,0.389,0.421,1.0,1.421,18,0,1,0,0,0,0,0.444,191,260,3
Batting Order Positions,Batting 3rd,2,1,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0,0,0.333,-9,4,1
Batting Order Positions,Batting 5th,3,2,8,8,1,2,0,0,1,1,0,0,0,3,0.25,0.25,0.625,0.875,5,0,0,0,0,0,0,0.25,78,133,1
Batting Order Positions,Batting 6th,5,5,20,17,3,2,1,0,0,2,1,0,2,7,0.118,0.25,0.177,0.427,3,0,1,0,0,0,0,0.2,1,28,1
Batting Order Positions,Batting 7th,5,1,6,4,3,3,0,0,1,2,1,0,2,1,0.75,0.833,1.5,2.333,6,0,0,0,0,0,0,1.0,394,565,2
Batting Order Positions,Batting 8th,14,12,45,40,5,9,0,0,4,5,1,1,5,16,0.225,0.311,0.525,0.836,21,1,0,0,0,0,0,0.25,78,150,5
Batting Order Positions,Batting 9th,14,11,40,37,8,15,4,1,1,4,3,1,2,11,0.405,0.45,0.649,1.099,24,0,1,0,0,0,1,0.56,139,250,9
