Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,106,86,368,317,47,67,14,1,7,32,10,6,28,51,0.211,0.307,0.328,0.635,104,15,17,3,3,1,3,0.229,100,80,45
Season Totals,Last 7 days,4,2,8,6,1,1,0,0,0,0,0,0,1,2,0.167,0.375,0.167,0.542,1,0,1,0,0,0,0,0.25,73,66,1
Season Totals,Last 14 days,7,4,14,12,1,1,0,0,0,0,0,0,1,3,0.083,0.214,0.083,0.298,1,0,1,0,0,0,0,0.111,-5,-11,1
Season Totals,Last 28 days,17,11,43,39,3,4,1,0,0,0,1,0,1,4,0.103,0.186,0.128,0.314,5,3,3,0,0,0,0,0.114,0,-10,3
Season Totals,Last 365 days,129,100,430,375,54,79,15,1,11,44,12,6,31,65,0.211,0.3,0.344,0.644,129,15,18,3,3,1,3,0.225,103,,52
Platoon Splits,vs RHP,91,,242,211,30,47,7,1,5,22,7,3,15,33,0.223,0.308,0.337,0.645,71,12,12,2,2,0,1,0.24,103,83,34
Platoon Splits,vs LHP,66,,126,106,17,20,7,0,2,10,3,3,13,18,0.189,0.304,0.311,0.615,33,3,5,1,1,1,2,0.207,94,74,11
Platoon Splits,vs RHP as RHB,91,,242,211,,47,7,1,5,22,0,0,15,33,0.223,0.308,0.337,0.645,71,12,12,2,2,0,1,0.24,103,88,34
Platoon Splits,vs LHP as RHB,66,,126,106,,20,7,0,2,10,0,0,13,18,0.189,0.304,0.311,0.615,33,3,5,1,1,1,2,0.207,94,70,11
Platoon Splits,vs RH Starter,73,54,233,202,31,40,8,1,5,21,4,3,20,36,0.198,0.293,0.322,0.615,65,12,8,1,2,1,1,0.215,94,74,26
Platoon Splits,vs LH Starter,33,32,135,115,16,27,6,0,2,11,6,3,8,15,0.235,0.331,0.339,0.67,39,3,9,2,1,0,2,0.253,111,90,19
Home or Away,Home,49,39,162,141,23,32,4,1,3,17,6,2,12,22,0.227,0.313,0.333,0.646,47,7,6,2,1,0,2,0.248,104,81,24
Home or Away,Away,57,47,206,176,24,35,10,0,4,15,4,4,16,29,0.199,0.302,0.324,0.626,57,8,11,1,2,1,1,0.214,97,80,21
First or Second Half,1st Half,83,72,311,267,43,58,13,0,7,31,8,6,26,45,0.217,0.315,0.345,0.66,92,12,13,3,2,1,3,0.235,108,88,38
First or Second Half,2nd Half,23,14,57,50,4,9,1,1,0,1,2,0,2,6,0.18,0.263,0.24,0.503,12,3,4,0,1,0,0,0.2,59,42,7
Months,April/March,25,23,96,83,15,17,4,0,3,12,3,3,8,18,0.205,0.302,0.361,0.664,30,3,4,0,1,1,3,0.222,108,90,10
Months,May,26,25,108,92,17,22,7,0,1,10,5,0,8,12,0.239,0.33,0.348,0.678,32,2,5,2,1,0,0,0.263,114,97,14
Months,June,23,19,83,72,7,12,1,0,2,6,0,2,6,14,0.167,0.268,0.264,0.532,19,7,4,1,0,0,0,0.179,68,51,9
Months,July,20,11,51,43,6,14,2,1,1,4,2,1,5,4,0.326,0.412,0.488,0.9,21,1,2,0,1,0,0,0.333,183,147,10
