Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,66,52,221,190,18,40,8,0,6,17,1,0,23,50,0.211,0.308,0.347,0.655,66,4,5,0,3,0,0,0.248,100,85,26
Season Totals,Last 7 days,4,3,14,12,0,4,1,0,0,1,0,0,2,3,0.333,0.429,0.417,0.845,5,0,0,0,0,0,0,0.444,160,148,3
Season Totals,Last 14 days,5,4,17,15,0,4,1,0,0,1,0,0,2,4,0.267,0.353,0.333,0.686,5,0,0,0,0,0,0,0.364,111,94,3
Season Totals,Last 28 days,11,9,35,28,2,7,3,0,0,2,0,0,5,9,0.25,0.371,0.357,0.729,10,0,1,0,1,0,0,0.35,123,103,4
Season Totals,Last 365 days,85,64,276,236,26,53,11,1,7,22,1,1,30,63,0.225,0.326,0.369,0.695,87,4,7,0,3,0,0,0.272,112,,34
Platoon Splits,vs RHP,51,,127,112,10,24,4,0,2,8,1,0,13,32,0.214,0.299,0.304,0.603,34,3,1,0,1,0,0,0.279,85,72,18
Platoon Splits,vs LHP,42,,94,78,8,16,4,0,4,9,0,0,10,18,0.205,0.319,0.41,0.729,32,1,4,0,2,0,0,0.207,122,103,8
Platoon Splits,vs RHP as RHB,51,,127,112,,24,4,0,2,8,0,0,13,32,0.214,0.299,0.304,0.603,34,3,1,0,1,0,0,0.279,85,77,18
Platoon Splits,vs LHP as RHB,42,,94,78,,16,4,0,4,9,0,0,10,18,0.205,0.319,0.41,0.729,32,1,4,0,2,0,0,0.207,122,98,8
Platoon Splits,vs RH Starter,40,26,122,111,10,20,4,0,3,6,1,0,9,32,0.18,0.246,0.297,0.543,33,2,1,0,1,0,0,0.221,66,53,13
Platoon Splits,vs LH Starter,26,26,99,79,8,20,4,0,3,11,0,0,14,18,0.253,0.384,0.418,0.802,33,2,4,0,2,0,0,0.283,145,126,13
Home or Away,Home,32,21,99,85,11,21,3,0,3,9,0,0,10,20,0.247,0.333,0.388,0.722,33,1,2,0,2,0,0,0.281,120,101,15
Home or Away,Away,34,31,122,105,7,19,5,0,3,8,1,0,13,30,0.181,0.287,0.314,0.601,33,3,3,0,1,0,0,0.219,84,73,11
First or Second Half,1st Half,53,43,183,159,16,33,5,0,6,15,1,0,18,41,0.208,0.301,0.352,0.653,56,4,4,0,2,0,0,0.237,99,85,22
First or Second Half,2nd Half,13,9,38,31,2,7,3,0,0,2,0,0,5,9,0.226,0.342,0.323,0.665,10,0,1,0,1,0,0,0.304,104,87,4
Months,April/March,24,20,84,76,8,24,2,0,3,9,1,0,5,17,0.316,0.369,0.461,0.83,35,2,2,0,1,0,0,0.368,153,137,19
Months,May,16,12,56,47,3,3,1,0,1,1,0,0,8,14,0.064,0.214,0.149,0.363,7,2,1,0,0,0,0,0.063,12,8,1
Months,June,10,8,31,25,2,3,1,0,1,3,0,0,5,7,0.12,0.29,0.28,0.57,7,0,1,0,0,0,0,0.118,75,61,1
Months,July,9,7,28,24,5,5,3,0,1,2,0,0,2,8,0.208,0.286,0.458,0.744,11,0,1,0,1,0,0,0.25,125,100,1
Months,August,7,5,22,18,0,5,1,0,0,2,0,0,3,4,0.278,0.364,0.333,0.697,6,0,0,0,1,0,0,0.333,114,97,4
Game Outcome for Team,in Wins,32,25,111,94,14,25,6,0,5,14,1,0,10,26,0.266,0.351,0.489,0.841,46,2,4,0,3,0,0,0.303,155,101,14
Game Outcome for Team,in Losses,34,27,110,96,4,15,2,0,1,3,0,0,13,24,0.156,0.264,0.208,0.472,20,2,1,0,0,0,0,0.197,46,63,12
Starter or Substitute,as Starter,52,52,200,171,17,37,8,0,6,16,1,0,21,45,0.216,0.315,0.368,0.683,63,3,5,0,3,0,0,0.252,108,92,23
Starter or Substitute,as Sub,14,0,21,19,1,3,0,0,0,1,0,0,2,5,0.158,0.238,0.158,0.396,3,1,0,0,0,0,0,0.214,23,24,3
Defensive Positions,as 1B,19,,57,47,1,4,1,0,0,3,1,0,6,14,0.085,0.211,0.106,0.317,5,0,2,0,2,0,0,0.114,-1,-8,3
Defensive Positions,as 3B,17,,56,51,9,15,3,0,3,6,0,0,4,16,0.294,0.357,0.529,0.887,27,0,1,0,0,0,0,0.375,168,148,9
Defensive Positions,as LF,8,,21,18,,5,1,0,0,1,0,0,3,4,0.278,0.381,0.333,0.714,6,0,0,0,0,0,0,0.357,120,106,4
Defensive Positions,as RF,16,,59,50,7,11,2,0,3,6,0,0,6,10,0.22,0.322,0.44,0.762,22,4,2,0,1,0,0,0.211,131,108,6
Defensive Positions,as DH,5,,19,16,1,4,1,0,0,1,0,0,3,4,0.25,0.368,0.313,0.681,5,0,0,0,0,0,0,0.333,110,87,3
Defensive Positions,as PH,10,,10,9,,1,0,0,0,0,0,0,1,2,0.111,0.2,0.111,0.311,1,0,0,0,0,0,0,0.143,-3,0,1
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,31,,45,41,,9,4,0,0,0,,,4,8,0.22,0.289,0.317,0.606,13,0,0,0,0,0,0,0.273,85,75,5
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
