Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,106,91,384,343,52,85,20,1,16,48,1,0,34,75,0.248,0.323,0.452,0.775,155,6,5,0,2,1,3,0.272,100,116,48
Season Totals,Last 7 days,5,5,21,20,2,6,2,0,1,3,0,0,1,7,0.3,0.333,0.55,0.883,11,2,0,0,0,0,0,0.417,125,150,3
Season Totals,Last 14 days,11,11,47,43,6,12,4,0,2,6,0,0,4,13,0.279,0.34,0.512,0.852,22,2,0,0,0,0,0,0.357,119,134,6
Season Totals,Last 28 days,23,22,93,83,14,23,4,0,5,13,0,0,9,23,0.277,0.355,0.506,0.861,42,2,1,0,0,0,0,0.327,122,134,14
Season Totals,Last 365 days,137,113,481,436,62,107,26,2,20,64,1,0,38,98,0.245,0.312,0.452,0.764,197,10,5,0,2,1,6,0.272,97,,59
Platoon Splits,vs RHP,98,,274,245,32,60,15,1,9,30,1,0,23,59,0.245,0.321,0.425,0.746,104,4,5,0,1,0,1,0.287,93,109,35
Platoon Splits,vs LHP,60,,110,98,20,25,5,0,7,18,0,0,11,16,0.255,0.327,0.52,0.848,51,2,0,0,1,1,2,0.237,116,133,13
Platoon Splits,vs RHP as RHB,98,,274,245,,60,15,1,9,30,0,0,23,59,0.245,0.321,0.425,0.746,104,4,5,0,1,0,1,0.287,93,115,35
Platoon Splits,vs LHP as RHB,60,,110,98,,25,5,0,7,18,0,0,11,16,0.255,0.327,0.52,0.848,51,2,0,0,1,1,2,0.237,116,127,13
Platoon Splits,vs RH Starter,73,64,271,242,31,52,14,1,6,27,1,0,23,61,0.215,0.292,0.355,0.647,86,5,4,0,2,1,2,0.26,69,82,31
Platoon Splits,vs LH Starter,33,27,113,101,21,33,6,0,10,21,0,0,11,14,0.327,0.398,0.683,1.081,69,1,1,0,0,0,1,0.299,174,197,17
Home or Away,Home,56,49,201,181,26,45,12,1,10,33,0,0,16,37,0.249,0.318,0.492,0.81,89,1,3,0,1,0,0,0.259,107,122,22
Home or Away,Away,50,42,183,162,26,40,8,0,6,15,1,0,18,38,0.247,0.328,0.407,0.735,66,5,2,0,1,1,3,0.286,92,109,26
First or Second Half,1st Half,79,66,278,249,37,61,16,1,10,34,1,0,23,48,0.245,0.317,0.438,0.754,109,4,4,0,2,1,2,0.264,95,112,34
First or Second Half,2nd Half,27,25,106,94,15,24,4,0,6,14,0,0,11,27,0.255,0.34,0.489,0.829,46,2,1,0,0,0,1,0.295,113,127,14
Months,April/March,23,19,77,65,12,15,3,0,3,10,1,0,10,17,0.231,0.338,0.415,0.753,27,0,1,0,1,0,2,0.261,97,115,9
Months,May,23,18,77,71,7,19,5,0,2,8,0,0,4,14,0.268,0.312,0.423,0.734,30,0,1,0,1,1,0,0.304,90,111,12
Months,June,21,18,76,68,10,15,4,1,1,6,0,0,6,10,0.221,0.303,0.353,0.656,24,3,2,0,0,0,0,0.246,72,84,9
Months,July,23,21,89,79,13,19,4,0,5,12,0,0,9,17,0.241,0.326,0.481,0.807,38,1,1,0,0,0,1,0.246,107,118,10
Months,August,16,15,65,60,10,17,4,0,5,12,0,0,5,17,0.283,0.339,0.6,0.939,36,2,0,0,0,0,0,0.316,137,154,8
Game Outcome for Team,in Wins,55,53,222,196,40,57,8,0,12,33,0,0,20,38,0.291,0.369,0.515,0.885,101,5,5,0,1,0,1,0.306,128,112,37
Game Outcome for Team,in Losses,51,38,162,147,12,28,12,1,4,15,1,0,14,37,0.191,0.259,0.367,0.627,54,1,0,0,1,1,2,0.224,61,111,11
Starter or Substitute,as Starter,91,91,366,329,52,84,20,1,16,47,1,0,31,73,0.255,0.328,0.468,0.796,154,6,5,0,1,0,3,0.282,105,121,47
Starter or Substitute,as Sub,15,0,18,14,0,1,0,0,0,1,0,0,3,2,0.071,0.222,0.071,0.294,1,0,0,0,1,1,0,0.077,-16,-6,1
Defensive Positions,as C,91,,340,303,47,77,18,1,14,43,1,0,30,69,0.254,0.329,0.459,0.788,139,5,5,0,2,0,3,0.284,103,127,44
Defensive Positions,as DH,9,,33,32,5,8,2,0,2,5,0,0,1,6,0.25,0.273,0.5,0.773,16,1,0,0,0,0,0,0.25,95,102,4
Defensive Positions,as PH,12,,12,9,,0,0,0,0,0,0,0,3,0,0.0,0.25,0.0,0.25,0,0,0,0,0,1,0,0.0,-23,-15,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,65,,91,84,,22,5,0,3,3,,,6,13,0.262,0.319,0.429,0.747,36,0,1,0,0,0,0,0.279,94,113,14
Batting Order Positions,Batting 1st,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 2nd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Batting Order Positions,Batting 3rd,14,14,59,54,7,13,4,0,2,6,0,0,5,17,0.241,0.305,0.426,0.731,23,2,0,0,0,0,0,0.314,89,86,7
Batting Order Positions,Batting 4th,13,13,55,51,14,21,6,0,6,13,0,0,4,8,0.412,0.455,0.882,1.337,45,0,0,0,0,0,0,0.405,236,253,9
Batting Order Positions,Batting 5th,32,31,124,111,17,26,6,0,5,13,1,0,11,18,0.234,0.315,0.423,0.738,47,2,2,0,0,0,1,0.239,91,104,15
Batting Order Positions,Batting 6th,21,21,82,71,8,15,2,1,1,6,0,0,8,16,0.211,0.317,0.31,0.627,22,2,3,0,0,0,0,0.259,67,85,11
Batting Order Positions,Batting 7th,5,4,17,14,3,3,0,0,2,5,0,0,3,5,0.214,0.353,0.643,0.996,9,0,0,0,0,0,0,0.143,152,184,1
Batting Order Positions,Batting 8th,2,0,3,2,0,0,0,0,0,0,0,0,1,1,0.0,0.333,0.0,0.333,0,0,0,0,0,0,0,0.0,3,14,0
Batting Order Positions,Batting 9th,17,8,43,39,3,7,2,0,0,5,0,0,2,10,0.18,0.209,0.231,0.44,9,0,0,0,2,1,2,0.226,16,42,5
Swung or Took First Pitch of PA,Swung at 1st Pitch,80,,116,109,,24,7,0,5,14,,,6,16,0.22,0.259,0.422,0.681,46,4,0,0,1,0,3,0.214,74,91,12
Swung or Took First Pitch of PA,Took 1st Pitch,98,,268,234,,61,13,1,11,34,,,28,59,0.261,0.351,0.466,0.817,109,2,5,0,1,1,0,0.303,112,127,36
Count/Balls-Strikes,First Pitch,49,,57,54,5,15,4,0,3,8,1,0,0,0,0.278,0.298,0.519,0.817,28,2,2,0,1,0,2,0.231,107,80,8
Count/Balls-Strikes,1-0 Count,21,,24,23,4,7,0,0,2,3,0,0,0,0,0.304,0.333,0.565,0.899,13,0,1,0,0,0,0,0.238,128,96,5
Count/Balls-Strikes,2-0 Count,8,,8,8,4,3,2,0,1,2,0,0,0,0,0.375,0.375,1.0,1.375,8,0,0,0,0,0,0,0.286,237,170,0
Count/Balls-Strikes,3-0 Count,14,,14,9,4,6,0,0,3,7,0,0,4,0,0.667,0.786,1.667,2.452,15,0,1,0,0,1,0,0.5,512,171,3
Count/Balls-Strikes,0-1 Count,26,,30,30,8,11,2,0,1,7,0,0,0,0,0.367,0.367,0.533,0.9,16,2,0,0,0,0,0,0.345,132,115,8
