Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,74,33,139,121,24,28,2,0,0,8,8,1,11,27,0.231,0.306,0.248,0.554,30,0,2,4,0,0,0,0.298,100,60,26
Season Totals,Last 7 days,4,3,12,11,1,2,0,0,0,0,0,0,1,1,0.182,0.25,0.182,0.432,2,0,0,0,0,0,0,0.2,55,29,2
Season Totals,Last 14 days,7,4,17,15,3,2,0,0,0,0,0,0,1,3,0.133,0.188,0.133,0.321,2,0,0,1,0,0,0,0.167,15,-8,2
Season Totals,Last 28 days,12,5,23,20,6,4,0,0,0,1,1,0,1,4,0.2,0.273,0.2,0.473,4,0,1,1,0,0,0,0.25,70,34,4
Season Totals,Last 365 days,74,33,139,121,24,28,2,0,0,8,8,1,11,27,0.231,0.306,0.248,0.554,30,0,2,4,0,0,0,0.298,100,,26
Platoon Splits,vs RHP,56,,122,107,22,26,2,0,0,7,8,1,10,24,0.243,0.319,0.262,0.581,28,0,2,2,0,0,0,0.313,110,68,24
Platoon Splits,vs LHP,13,,17,14,2,2,0,0,0,1,0,0,1,3,0.143,0.2,0.143,0.343,2,0,0,2,0,0,0,0.182,23,-1,2
Platoon Splits,vs RHP as LHB,56,,122,107,,26,2,0,0,7,0,0,10,24,0.243,0.319,0.262,0.581,28,0,2,2,0,0,0,0.313,110,63,24
Platoon Splits,vs LHP as LHB,13,,17,14,,2,0,0,0,1,0,0,1,3,0.143,0.2,0.143,0.343,2,0,0,2,0,0,0,0.182,23,5,2
Platoon Splits,vs RH Starter,53,30,111,99,20,23,2,0,0,6,7,0,9,19,0.232,0.303,0.253,0.555,25,0,1,1,0,0,0,0.288,101,61,21
Platoon Splits,vs LH Starter,21,3,28,22,4,5,0,0,0,2,1,1,2,8,0.227,0.32,0.227,0.547,5,0,1,3,0,0,0,0.357,96,58,5
Home or Away,Home,37,17,65,56,10,8,1,0,0,3,5,0,6,17,0.143,0.238,0.161,0.399,9,0,1,1,0,0,0,0.205,43,15,7
Home or Away,Away,37,16,74,65,14,20,1,0,0,5,3,1,5,10,0.308,0.366,0.323,0.689,21,0,1,3,0,0,0,0.364,150,100,19
First or Second Half,1st Half,62,28,116,101,18,24,2,0,0,7,7,1,10,23,0.238,0.313,0.257,0.57,26,0,1,3,0,0,0,0.308,106,65,22
