Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,56,41,163,146,18,42,5,1,6,21,0,0,11,25,0.288,0.344,0.459,0.803,67,4,3,0,3,0,1,0.305,100,124,30
Season Totals,Last 7 days,5,3,13,12,2,6,0,0,0,1,0,0,1,3,0.5,0.539,0.5,1.039,6,0,0,0,0,0,0,0.667,165,205,6
Season Totals,Last 14 days,8,6,26,23,3,10,0,0,1,2,0,0,3,4,0.435,0.5,0.565,1.065,13,1,0,0,0,0,0,0.5,168,198,9
Season Totals,Last 28 days,16,10,44,37,4,14,0,0,1,3,0,0,6,9,0.378,0.477,0.46,0.937,17,1,1,0,0,0,0,0.482,139,161,13
Season Totals,Last 365 days,70,52,212,192,21,56,7,1,7,27,0,0,12,33,0.292,0.335,0.448,0.783,86,6,3,0,5,0,2,0.312,95,,41
Platoon Splits,vs RHP,51,,133,118,17,33,3,1,6,18,0,0,10,20,0.28,0.346,0.475,0.821,56,3,3,0,2,0,1,0.287,104,130,23
Platoon Splits,vs LHP,17,,30,28,1,9,2,0,0,3,0,0,1,5,0.321,0.333,0.393,0.726,11,1,0,0,1,0,0,0.375,82,103,7
Platoon Splits,vs RHP as LHB,51,,133,118,,33,3,1,6,18,0,0,10,20,0.28,0.346,0.475,0.821,56,3,3,0,2,0,1,0.287,104,123,23
Platoon Splits,vs LHP as RHB,17,,30,28,,9,2,0,0,3,0,0,1,5,0.321,0.333,0.393,0.726,11,1,0,0,1,0,0,0.375,82,98,7
Platoon Splits,vs RH Starter,41,32,127,113,14,29,4,1,5,14,0,0,10,20,0.257,0.323,0.443,0.765,50,3,2,0,2,0,1,0.267,90,114,19
Platoon Splits,vs LH Starter,15,9,36,33,4,13,1,0,1,7,0,0,1,5,0.394,0.417,0.515,0.932,17,1,1,0,1,0,0,0.429,133,161,11
Home or Away,Home,33,22,90,83,9,23,3,1,2,12,0,0,4,18,0.277,0.322,0.41,0.732,34,2,2,0,1,0,0,0.328,83,103,17
Home or Away,Away,23,19,73,63,9,19,2,0,4,9,0,0,7,7,0.302,0.37,0.524,0.894,33,2,1,0,2,0,1,0.278,122,153,13
First or Second Half,1st Half,39,30,115,105,13,26,5,1,4,17,0,0,5,16,0.248,0.287,0.429,0.716,45,3,2,0,3,0,1,0.25,77,100,16
First or Second Half,2nd Half,17,11,48,41,5,16,0,0,2,4,0,0,6,9,0.39,0.479,0.537,1.016,22,1,1,0,0,0,0,0.467,156,183,14
Months,April/March,14,9,38,35,8,11,3,0,2,8,0,0,2,7,0.314,0.368,0.571,0.94,20,1,1,0,0,0,0,0.346,131,166,6
Months,May,14,10,42,39,4,8,2,0,1,6,0,0,1,5,0.205,0.238,0.333,0.571,13,2,1,0,1,0,1,0.206,42,63,5
Months,June,11,11,35,31,1,7,0,1,1,3,0,0,2,4,0.226,0.257,0.387,0.644,12,0,0,0,2,0,0,0.214,59,77,5
Months,July,6,4,16,13,2,6,0,0,1,2,0,0,2,3,0.462,0.563,0.692,1.255,9,0,1,0,0,0,0,0.556,214,244,5
Months,August,11,7,32,28,3,10,0,0,1,2,0,0,4,6,0.357,0.438,0.464,0.902,13,1,0,0,0,0,0,0.429,128,153,9
Game Outcome for Team,in Wins,27,21,84,74,10,24,2,0,4,17,0,0,7,10,0.324,0.393,0.514,0.906,38,1,2,0,1,0,0,0.328,126,118,18
Game Outcome for Team,in Losses,29,20,79,72,8,18,3,1,2,4,0,0,4,15,0.25,0.291,0.403,0.694,29,3,1,0,2,0,1,0.281,72,135,12
Starter or Substitute,as Starter,41,41,149,133,17,36,5,1,5,16,0,0,10,23,0.271,0.329,0.436,0.765,58,4,3,0,3,0,1,0.287,91,114,25
