Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,36,31,115,107,9,15,6,0,1,7,4,0,4,30,0.14,0.183,0.224,0.407,24,0,2,0,2,0,2,0.18,100,15,8
Season Totals,Last 7 days,6,5,17,15,2,4,1,0,0,1,2,0,2,1,0.267,0.353,0.333,0.686,5,0,0,0,0,0,0,0.286,242,104,3
Season Totals,Last 14 days,10,9,31,29,2,6,2,0,0,1,2,0,2,9,0.207,0.258,0.276,0.534,8,0,0,0,0,0,0,0.3,164,53,4
Season Totals,Last 28 days,15,14,50,48,3,10,3,0,1,5,2,0,2,15,0.208,0.24,0.333,0.573,16,0,0,0,0,0,1,0.281,180,57,6
Season Totals,Last 365 days,36,31,115,107,9,15,6,0,1,7,4,0,4,30,0.14,0.183,0.224,0.407,24,0,2,0,2,0,2,0.18,100,,8
Platoon Splits,vs RHP,29,,82,76,6,10,6,0,0,5,4,0,3,19,0.132,0.171,0.211,0.381,16,0,1,0,2,0,1,0.17,88,8,4
Platoon Splits,vs LHP,19,,33,31,3,5,0,0,1,2,0,0,1,11,0.161,0.212,0.258,0.47,8,0,1,0,0,0,1,0.211,131,31,4
Platoon Splits,vs RHP as LHB,29,,82,76,,10,6,0,0,5,0,0,3,19,0.132,0.171,0.211,0.381,16,0,1,0,2,0,1,0.17,88,4,4
Platoon Splits,vs LHP as LHB,19,,33,31,,5,0,0,1,2,0,0,1,11,0.161,0.212,0.258,0.47,8,0,1,0,0,0,1,0.211,131,41,4
Platoon Splits,vs RH Starter,28,24,90,82,7,13,6,0,0,5,4,0,4,22,0.159,0.211,0.232,0.443,19,0,2,0,2,0,1,0.21,119,26,7
Platoon Splits,vs LH Starter,8,7,25,25,2,2,0,0,1,2,0,0,0,8,0.08,0.08,0.2,0.28,5,0,0,0,0,0,1,0.063,33,-25,1
Home or Away,Home,18,16,55,52,3,8,1,0,1,3,2,0,1,11,0.154,0.182,0.231,0.413,12,0,1,0,1,0,1,0.171,103,14,6
Home or Away,Away,18,15,60,55,6,7,5,0,0,4,2,0,3,19,0.127,0.183,0.218,0.402,12,0,1,0,1,0,1,0.189,97,15,2
First or Second Half,1st Half,21,17,65,59,6,5,3,0,0,2,2,0,2,15,0.085,0.139,0.136,0.274,8,0,2,0,2,0,1,0.109,36,-22,2
