Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,124,121,523,465,61,124,28,2,18,96,1,0,40,66,0.267,0.322,0.452,0.773,210,11,4,1,13,1,1,0.269,100,116,76
Season Totals,Last 7 days,6,6,28,23,6,9,2,0,0,8,0,0,4,1,0.391,0.464,0.478,0.943,11,1,0,0,1,0,0,0.391,150,178,7
Season Totals,Last 14 days,11,11,51,45,8,12,3,0,1,12,0,0,5,5,0.267,0.333,0.4,0.733,18,1,0,0,1,0,0,0.275,92,108,8
Season Totals,Last 28 days,24,24,109,101,16,29,5,0,7,29,1,0,6,12,0.287,0.324,0.545,0.869,55,2,0,1,1,0,0,0.265,121,135,17
Season Totals,Last 365 days,124,121,523,465,61,124,28,2,18,96,1,0,40,66,0.267,0.322,0.452,0.773,210,11,4,1,13,1,1,0.269,100,,76
Platoon Splits,vs RHP,121,,412,362,48,98,23,2,14,75,1,0,37,46,0.271,0.336,0.461,0.797,167,9,3,1,9,1,1,0.27,106,123,59
Platoon Splits,vs LHP,63,,111,103,13,26,5,0,4,21,0,0,3,20,0.252,0.27,0.418,0.688,43,2,1,0,4,0,0,0.265,76,89,17
Platoon Splits,vs RHP as LHB,121,,412,362,,98,23,2,14,75,0,0,37,46,0.271,0.336,0.461,0.797,167,9,3,1,9,1,1,0.27,106,116,59
Platoon Splits,vs LHP as LHB,63,,111,103,,26,5,0,4,21,0,0,3,20,0.252,0.27,0.418,0.688,43,2,1,0,4,0,0,0.265,76,103,17
Platoon Splits,vs RH Starter,102,102,438,389,49,97,23,1,14,74,0,0,33,56,0.249,0.307,0.422,0.728,164,11,4,1,11,1,1,0.252,89,104,59
Platoon Splits,vs LH Starter,22,19,85,76,12,27,5,1,4,22,1,0,7,10,0.355,0.4,0.605,1.005,46,0,0,0,2,0,0,0.359,158,179,17
Home or Away,Home,66,64,276,243,34,71,14,2,8,59,0,0,25,30,0.292,0.349,0.465,0.814,113,9,0,1,7,1,1,0.297,111,125,47
Home or Away,Away,58,57,247,222,27,53,14,0,10,37,1,0,15,36,0.239,0.292,0.437,0.728,97,2,4,0,6,0,0,0.236,87,105,29
First or Second Half,1st Half,93,90,384,337,41,83,22,2,11,62,0,0,32,51,0.246,0.31,0.421,0.731,142,8,4,0,11,1,1,0.252,89,105,48
First or Second Half,2nd Half,31,31,139,128,20,41,6,0,7,34,1,0,8,15,0.32,0.355,0.531,0.886,68,3,0,1,2,0,0,0.315,128,142,28
