Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,124,546,484,73,154,33,1,26,81,2,2,54,79,0.318,0.39,0.552,0.942,267,13,5,0,3,4,2,0.335,100,162,94
Season Totals,Last 7 days,6,6,27,24,2,7,2,0,2,4,0,0,2,3,0.292,0.37,0.625,0.995,15,0,1,0,0,0,0,0.263,108,182,3
Season Totals,Last 14 days,13,13,57,52,7,17,4,1,4,9,0,0,4,5,0.327,0.386,0.673,1.059,35,2,1,0,0,0,0,0.302,121,188,8
Season Totals,Last 28 days,26,26,115,98,23,41,12,1,9,21,0,1,13,10,0.418,0.496,0.837,1.332,82,3,3,0,1,3,1,0.4,179,258,19
Season Totals,Last 365 days,160,158,701,621,95,190,39,1,34,103,3,2,71,98,0.306,0.381,0.536,0.917,333,19,6,0,3,6,4,0.317,95,,116
Platoon Splits,vs RHP,121,,444,399,60,126,26,1,20,57,1,2,37,68,0.316,0.378,0.536,0.915,214,8,5,0,3,2,1,0.338,94,156,79
Platoon Splits,vs LHP,46,,102,85,13,28,7,0,6,24,1,0,17,11,0.329,0.441,0.624,1.065,53,5,0,0,0,2,1,0.324,126,195,15
Platoon Splits,vs RHP as RHB,121,,444,399,,126,26,1,20,57,0,0,37,68,0.316,0.378,0.536,0.915,214,8,5,0,3,2,1,0.338,94,163,79
Platoon Splits,vs LHP as RHB,46,,102,85,,28,7,0,6,24,0,0,17,11,0.329,0.441,0.624,1.065,53,5,0,0,0,2,1,0.324,126,188,15
Platoon Splits,vs RH Starter,99,98,432,385,60,124,23,1,19,56,2,2,39,60,0.322,0.389,0.535,0.924,206,8,5,0,3,2,2,0.34,97,159,81
Platoon Splits,vs LH Starter,26,26,114,99,13,30,10,0,7,25,0,0,15,19,0.303,0.395,0.616,1.011,61,5,0,0,0,2,0,0.315,113,179,13
Home or Away,Home,61,61,259,229,37,79,10,1,13,42,2,1,26,29,0.345,0.417,0.568,0.985,130,7,3,0,1,2,1,0.351,110,172,55
Home or Away,Away,64,63,287,255,36,75,23,0,13,39,0,1,28,50,0.294,0.366,0.537,0.903,137,6,2,0,2,2,1,0.32,91,155,39
First or Second Half,1st Half,95,94,415,371,47,107,20,0,14,55,2,0,40,67,0.288,0.359,0.456,0.815,169,9,2,0,2,1,1,0.319,75,130,73
First or Second Half,2nd Half,30,30,131,113,26,47,13,1,12,26,0,2,14,12,0.416,0.489,0.867,1.356,98,4,3,0,1,3,1,0.389,182,266,21
Months,April/March,31,31,136,118,11,27,5,0,3,11,0,0,17,28,0.229,0.331,0.348,0.678,41,3,1,0,0,0,1,0.276,48,96,19
Months,May,25,25,114,98,13,35,5,0,2,14,1,0,16,16,0.357,0.447,0.469,0.917,46,1,0,0,0,1,0,0.413,100,167,28
Months,June,27,26,113,107,16,34,7,0,8,25,1,0,5,15,0.318,0.354,0.608,0.962,65,4,1,0,0,0,0,0.31,101,162,19
Months,July,25,25,108,95,22,34,9,0,8,20,0,1,10,14,0.358,0.407,0.705,1.113,67,3,0,0,3,3,1,0.342,132,198,17
Months,August,17,17,75,66,11,24,7,1,5,11,0,1,6,6,0.364,0.44,0.727,1.167,48,2,3,0,0,0,0,0.346,145,218,11
Game Outcome for Team,in Wins,59,59,274,237,48,86,21,1,12,51,1,0,33,36,0.363,0.442,0.612,1.053,145,5,2,0,2,4,1,0.387,124,153,52
Game Outcome for Team,in Losses,66,65,272,247,25,68,12,0,14,30,1,2,21,43,0.275,0.338,0.494,0.832,122,8,3,0,1,0,1,0.283,76,181,42
Starter or Substitute,as Starter,124,124,545,483,73,154,33,1,26,81,2,2,54,79,0.319,0.391,0.553,0.944,267,13,5,0,3,4,2,0.336,100,163,94
Starter or Substitute,as Sub,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 1B,100,,441,387,60,124,27,1,21,66,2,0,48,65,0.32,0.399,0.558,0.957,216,9,4,0,2,4,1,0.34,103,161,75
Defensive Positions,as 3B,7,,29,27,6,12,1,0,1,3,0,1,2,2,0.444,0.483,0.593,1.075,16,0,0,0,0,0,0,0.458,131,205,10
Defensive Positions,as DH,17,,75,69,7,18,5,0,4,12,0,1,4,12,0.261,0.307,0.507,0.814,35,4,1,0,1,0,1,0.259,71,114,9
Defensive Positions,as PH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,74,,97,86,,28,7,0,6,6,,,11,15,0.326,0.402,0.616,1.018,53,0,0,0,0,0,0,0.339,115,188,15
Batting Order Positions,Batting 2nd,35,35,153,132,12,31,6,0,4,15,0,0,20,32,0.235,0.34,0.371,0.711,49,3,1,0,0,0,1,0.281,54,89,21
Batting Order Positions,Batting 3rd,89,89,392,351,61,123,27,1,22,66,2,2,34,47,0.35,0.411,0.621,1.032,218,10,4,0,3,4,1,0.354,118,161,73
Batting Order Positions,Batting 7th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,84,,152,143,,45,10,0,6,25,,,8,22,0.315,0.349,0.511,0.859,73,4,0,0,1,0,0,0.336,82,144,29
Swung or Took First Pitch of PA,Took 1st Pitch,124,,394,341,,109,23,1,20,56,,,46,57,0.32,0.406,0.569,0.975,194,9,5,0,2,4,2,0.335,107,170,65
Count/Balls-Strikes,First Pitch,50,,62,59,8,16,7,0,1,9,1,0,0,0,0.271,0.29,0.441,0.731,26,3,2,0,1,0,0,0.254,54,63,8
Count/Balls-Strikes,1-0 Count,38,,42,42,14,18,4,0,7,15,0,0,0,0,0.429,0.429,1.024,1.452,43,2,0,0,0,0,0,0.314,196,204,7
Count/Balls-Strikes,2-0 Count,10,,10,10,2,4,1,0,1,1,0,0,0,0,0.4,0.4,0.8,1.2,8,0,0,0,0,0,0,0.333,148,145,2
Count/Balls-Strikes,3-0 Count,10,,10,2,,0,0,0,0,0,0,0,8,0,0.0,0.8,0.0,0.8,0,0,0,0,0,4,0,0.0,105,-15,0
Count/Balls-Strikes,0-1 Count,43,,53,52,9,20,2,0,2,7,1,0,0,0,0.385,0.396,0.539,0.935,28,3,1,0,0,0,0,0.36,99,125,16
Count/Balls-Strikes,1-1 Count,43,,50,49,5,19,4,0,2,8,0,0,0,0,0.388,0.38,0.592,0.972,29,1,0,0,1,0,0,0.354,105,130,13
Count/Balls-Strikes,2-1 Count,24,,25,24,8,12,2,0,6,12,0,0,0,0,0.5,0.52,1.333,1.853,32,1,1,0,0,0,0,0.333,275,279,4
Count/Balls-Strikes,3-1 Count,24,,25,7,2,2,1,0,0,2,0,0,18,0,0.286,0.8,0.429,1.229,3,1,0,0,0,0,0,0.286,183,82,1
Count/Balls-Strikes,0-2 Count,44,,51,51,6,15,1,0,1,6,0,0,0,17,0.294,0.294,0.373,0.667,19,0,0,0,0,0,0,0.424,43,251,13
Count/Balls-Strikes,1-2 Count,53,,66,66,8,14,5,1,1,6,0,0,0,22,0.212,0.212,0.364,0.576,24,1,0,0,0,0,0,0.302,20,173,7
Count/Balls-Strikes,2-2 Count,56,,78,76,7,17,3,0,3,10,0,1,0,28,0.224,0.231,0.382,0.612,29,1,1,0,1,0,2,0.304,28,170,11
Count/Balls-Strikes,Full Count,57,,74,46,4,17,3,0,2,5,0,1,28,12,0.37,0.608,0.565,1.173,26,0,0,0,0,0,0,0.469,158,203,12
Count/Balls-Strikes,After 1-0,106,,207,171,,66,15,1,14,41,,,33,22,0.386,0.483,0.731,1.214,125,5,1,0,2,4,2,0.38,156,199,36
Count/Balls-Strikes,After 2-0,55,,69,48,,13,2,0,3,7,,,20,8,0.271,0.478,0.5,0.978,24,2,0,0,1,4,2,0.263,113,104,8
Count/Balls-Strikes,After 3-0,16,,18,5,,1,0,0,0,0,,,13,0,0.2,0.778,0.2,0.978,1,0,0,0,0,4,0,0.2,136,45,1
Count/Balls-Strikes,After 0-1,119,,276,254,,72,11,0,11,31,,,20,57,0.284,0.341,0.457,0.797,116,5,2,0,0,0,0,0.328,70,163,50
Count/Balls-Strikes,After 1-1,108,,204,174,,58,12,1,11,32,,,27,39,0.333,0.427,0.603,1.03,105,2,2,0,1,0,0,0.376,119,208,34
Count/Balls-Strikes,After 2-1,83,,112,81,,26,5,0,8,19,,,28,17,0.321,0.5,0.679,1.179,55,3,2,0,1,0,2,0.316,151,199,13
Count/Balls-Strikes,After 3-1,37,,40,17,,7,2,0,1,3,,,23,3,0.412,0.75,0.706,1.456,12,1,0,0,0,0,0,0.462,220,188,4
Count/Balls-Strikes,After 0-2,83,,115,109,,29,6,0,2,11,,,6,32,0.266,0.304,0.376,0.68,41,1,0,0,0,0,0,0.36,46,201,21
Count/Balls-Strikes,After 1-2,92,,147,135,,35,9,1,4,16,,,12,45,0.259,0.32,0.43,0.749,58,1,0,0,0,0,0,0.361,60,200,21
Count/Balls-Strikes,After 2-2,89,,136,112,,29,5,0,4,14,,,22,37,0.259,0.382,0.411,0.793,46,1,1,0,1,0,2,0.347,72,172,20
Count/Balls-Strikes,Zero Balls,99,,166,162,23,51,10,0,4,22,2,0,0,17,0.315,0.325,0.451,0.776,73,6,3,0,1,0,0,0.331,65,119,37
Count/Balls-Strikes,Zero Strikes,87,,124,113,24,38,12,0,9,25,1,0,8,0,0.336,0.387,0.681,1.069,77,5,2,0,1,4,0,0.276,123,119,17
Count/Balls-Strikes,Three Balls,74,,109,55,6,19,4,0,2,7,0,1,54,12,0.346,0.67,0.527,1.197,29,1,0,0,0,4,0,0.415,167,158,13
Count/Balls-Strikes,Two Strikes,123,,269,239,25,63,12,1,7,27,0,2,28,79,0.264,0.342,0.41,0.752,98,2,1,0,1,0,2,0.364,62,194,43
Count/Balls-Strikes,Batter Ahead,98,,186,131,30,53,11,0,16,35,0,1,54,12,0.405,0.581,0.855,1.436,112,4,1,0,0,4,0,0.359,204,199,26
Count/Balls-Strikes,Even Count,105,,190,184,20,52,14,0,6,27,1,1,0,28,0.283,0.29,0.457,0.746,84,5,3,0,3,0,2,0.301,57,114,32
Count/Balls-Strikes,Pitcher Ahead,102,,170,169,23,49,8,1,4,19,1,0,0,39,0.29,0.294,0.42,0.714,71,4,1,0,0,0,0,0.357,52,176,36
Number of Outs in Inning,0 outs,94,,156,138,13,44,11,0,7,20,0,1,15,25,0.319,0.378,0.551,0.929,76,7,0,0,3,1,0,0.339,97,156,26
Number of Outs in Inning,1 out,108,,182,162,30,52,9,0,7,20,0,1,17,31,0.321,0.396,0.506,0.902,82,6,3,0,0,0,2,0.363,93,152,36
Number of Outs in Inning,2 outs,112,,208,184,30,58,13,1,12,41,2,0,22,23,0.315,0.394,0.592,0.987,109,0,2,0,0,3,0,0.309,108,179,32
Bases Occupied,RISP,88,,136,119,47,33,8,0,4,51,2,1,14,19,0.277,0.346,0.445,0.791,53,3,0,0,3,4,0,0.293,69,112,21
Bases Occupied,---,122,,306,274,16,89,20,0,16,16,0,0,30,43,0.325,0.395,0.573,0.968,157,0,2,0,0,0,2,0.34,105,179,53
Bases Occupied,Men On,112,,240,210,57,65,13,1,10,65,2,2,24,36,0.31,0.383,0.524,0.907,110,13,3,0,3,4,0,0.329,93,142,41
Bases Occupied,1--,79,,104,91,10,32,5,1,6,14,0,1,10,17,0.352,0.433,0.626,1.059,57,10,3,0,0,0,0,0.382,124,183,20
Bases Occupied,-2-,44,,51,45,11,12,1,0,1,11,0,1,6,7,0.267,0.353,0.356,0.709,16,0,0,0,0,3,0,0.297,55,95,10
Bases Occupied,--3,18,,18,16,4,4,1,0,0,5,0,0,2,1,0.25,0.333,0.313,0.646,5,0,0,0,0,0,0,0.267,42,70,3
Bases Occupied,12-,29,,34,31,9,9,4,0,1,10,0,0,3,6,0.29,0.353,0.516,0.869,16,2,0,0,0,0,0,0.333,84,141,4
Bases Occupied,1-3,10,,9,8,12,3,0,0,1,5,2,0,1,1,0.375,0.444,0.75,1.194,6,1,0,0,0,0,0,0.333,150,188,2
Bases Occupied,-23,13,,12,9,4,0,0,0,0,3,0,0,2,3,0.0,0.167,0.0,0.167,0,0,0,0,1,1,0,0.0,-57,-54,0
Bases Occupied,123,12,,12,10,7,5,2,0,1,17,0,0,0,1,0.5,0.417,1.0,1.417,10,0,0,0,2,0,0,0.4,188,270,2
Bases Occupied,"on 1st,",69,,102,89,23,32,8,0,4,20,0,1,9,18,0.36,0.422,0.584,1.006,52,13,2,0,2,0,0,0.406,114,165,20
Bases Occupied,"on 3rd,",21,,22,15,19,4,1,0,0,13,0,0,4,2,0.267,0.364,0.333,0.697,5,1,0,0,3,1,0,0.25,54,71,3
Bases Occupied,"on 3rd, 2 out",26,,29,28,8,8,2,0,2,17,2,0,1,4,0.286,0.31,0.571,0.882,16,0,0,0,0,0,0,0.273,83,141,4
