Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,18,10,47,44,8,15,2,1,3,7,2,0,2,10,0.341,0.362,0.636,0.998,28,0,0,0,1,0,0,0.375,100,174,9
Season Totals,Last 7 days,3,3,12,11,4,6,1,1,1,1,1,0,1,2,0.546,0.583,1.091,1.674,12,0,0,0,0,0,0,0.625,233,371,3
Season Totals,Last 14 days,4,4,16,15,5,8,2,1,1,2,1,0,1,4,0.533,0.563,1.0,1.563,15,0,0,0,0,0,0,0.7,213,324,4
Season Totals,Last 28 days,9,5,23,22,6,10,2,1,2,4,1,0,1,7,0.455,0.478,0.909,1.387,20,0,0,0,0,0,0,0.615,175,269,5
Season Totals,Last 365 days,22,12,58,54,10,18,2,1,3,8,4,0,3,14,0.333,0.362,0.574,0.936,31,0,0,0,1,0,0,0.395,90,,12
Platoon Splits,vs RHP,15,,23,22,3,5,1,0,1,1,0,0,1,4,0.227,0.261,0.409,0.67,9,0,0,0,0,0,0,0.235,36,86,3
Platoon Splits,vs LHP,11,,24,22,5,10,1,1,2,6,2,0,1,6,0.455,0.458,0.864,1.322,19,0,0,0,1,0,0,0.533,162,260,6
Platoon Splits,vs RHP as RHB,15,,23,22,,5,1,0,1,1,0,0,1,4,0.227,0.261,0.409,0.67,9,0,0,0,0,0,0,0.235,36,92,3
Platoon Splits,vs LHP as RHB,11,,24,22,,10,1,1,2,6,0,0,1,6,0.455,0.458,0.864,1.322,19,0,0,0,1,0,0,0.533,162,251,6
Platoon Splits,vs RH Starter,9,1,12,12,0,1,0,0,0,1,0,0,0,4,0.083,0.083,0.083,0.167,1,0,0,0,0,0,0,0.125,-64,-53,1
Platoon Splits,vs LH Starter,9,9,35,32,8,14,2,1,3,6,2,0,2,6,0.438,0.457,0.844,1.301,27,0,0,0,1,0,0,0.458,159,256,8
Home or Away,Home,10,6,26,24,6,8,1,1,2,2,2,0,2,5,0.333,0.385,0.708,1.093,17,0,0,0,0,0,0,0.353,118,196,4
Home or Away,Away,8,4,21,20,2,7,1,0,1,5,0,0,0,5,0.35,0.333,0.55,0.883,11,0,0,0,1,0,0,0.4,79,147,5
First or Second Half,1st Half,4,2,9,8,1,1,0,0,0,0,1,0,1,0,0.125,0.222,0.125,0.347,1,0,0,0,0,0,0,0.125,-19,3,1
First or Second Half,2nd Half,14,8,38,36,7,14,2,1,3,7,1,0,1,10,0.389,0.395,0.75,1.145,27,0,0,0,1,0,0,0.458,127,208,8
Months,June,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Months,July,11,5,26,24,3,6,0,0,2,4,1,0,1,6,0.25,0.269,0.5,0.769,12,0,0,0,1,0,0,0.235,53,105,4
Months,August,5,4,17,16,5,9,2,1,1,3,1,0,1,4,0.563,0.588,1.0,1.588,16,0,0,0,0,0,0,0.727,220,331,5
Game Outcome for Team,in Wins,6,5,22,20,5,9,2,1,1,3,1,0,1,5,0.45,0.455,0.8,1.255,16,0,0,0,1,0,0,0.533,152,196,5
Game Outcome for Team,in Losses,12,5,25,24,3,6,0,0,2,4,1,0,1,5,0.25,0.28,0.5,0.78,12,0,0,0,0,0,0,0.235,56,161,4
Starter or Substitute,as Starter,10,10,38,35,8,14,2,1,3,6,2,0,2,7,0.4,0.421,0.771,1.193,27,0,0,0,1,0,0,0.423,138,226,8
Starter or Substitute,as Sub,8,0,9,9,0,1,0,0,0,1,0,0,0,3,0.111,0.111,0.111,0.222,1,0,0,0,0,0,0,0.167,-52,-32,1
Defensive Positions,as 2B,3,,6,6,1,2,0,0,1,1,0,0,0,1,0.333,0.333,0.833,1.167,5,0,0,0,0,0,0,0.25,123,231,1
Defensive Positions,as LF,10,,34,31,7,13,2,1,2,6,2,0,2,7,0.419,0.441,0.742,1.183,23,0,0,0,1,0,0,0.478,139,229,8
Defensive Positions,as PH,7,,7,7,,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,8,,12,12,,4,0,1,1,1,,,0,3,0.333,0.333,0.75,1.083,9,0,0,0,0,0,0,0.375,110,199,2
