Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,73,59,246,214,34,46,6,3,4,13,16,3,27,33,0.215,0.309,0.327,0.636,70,5,2,3,0,0,5,0.237,100,80,33
Season Totals,Last 7 days,6,6,24,21,4,7,1,1,1,1,2,0,3,4,0.333,0.417,0.619,1.036,13,2,0,0,0,0,0,0.375,224,195,4
Season Totals,Last 14 days,13,13,52,41,11,11,2,1,1,2,3,1,10,8,0.268,0.412,0.439,0.851,18,2,0,1,0,0,1,0.313,168,139,7
Season Totals,Last 28 days,20,19,72,58,13,15,2,2,1,2,5,2,12,14,0.259,0.386,0.414,0.8,24,3,0,2,0,0,1,0.326,152,121,10
Season Totals,Last 365 days,102,85,363,321,42,64,11,3,4,23,19,5,35,54,0.199,0.281,0.29,0.57,93,10,2,3,2,2,6,0.226,80,,46
Platoon Splits,vs RHP,60,,148,126,23,29,4,3,1,7,10,1,17,24,0.23,0.331,0.333,0.664,42,3,2,3,0,0,2,0.277,109,90,21
Platoon Splits,vs LHP,46,,98,88,11,17,2,0,3,6,6,2,10,9,0.193,0.276,0.318,0.594,28,2,0,0,0,0,3,0.184,87,66,12
Platoon Splits,vs RHP as RHB,60,,148,126,,29,4,3,1,7,0,0,17,24,0.23,0.331,0.333,0.664,42,3,2,3,0,0,2,0.277,109,95,21
Platoon Splits,vs LHP as RHB,46,,98,88,,17,2,0,3,6,0,0,10,9,0.193,0.276,0.318,0.594,28,2,0,0,0,0,3,0.184,87,63,12
Platoon Splits,vs RH Starter,39,29,123,106,17,25,2,3,2,6,7,1,12,23,0.236,0.325,0.368,0.693,39,3,2,3,0,0,0,0.284,118,96,18
Platoon Splits,vs LH Starter,34,30,123,108,17,21,4,0,2,7,9,2,15,10,0.194,0.293,0.287,0.58,31,2,0,0,0,0,5,0.198,83,65,15
Home or Away,Home,37,28,114,102,13,19,2,3,2,5,2,0,9,18,0.186,0.259,0.324,0.582,33,2,1,2,0,0,1,0.207,83,62,12
Home or Away,Away,36,31,132,112,21,27,4,0,2,8,14,3,18,15,0.241,0.351,0.33,0.682,37,3,1,1,0,0,4,0.263,115,97,21
First or Second Half,1st Half,53,40,174,156,21,31,4,1,3,11,11,1,15,19,0.199,0.278,0.295,0.572,46,2,2,1,0,0,4,0.209,80,63,23
First or Second Half,2nd Half,20,19,72,58,13,15,2,2,1,2,5,2,12,14,0.259,0.386,0.414,0.8,24,3,0,2,0,0,1,0.326,152,123,10
Months,April/March,14,12,46,43,5,9,1,0,1,2,2,0,2,3,0.209,0.244,0.302,0.547,13,0,0,1,0,0,0,0.205,71,56,7
Months,May,16,13,64,55,8,9,3,0,1,2,4,1,9,7,0.164,0.281,0.273,0.554,15,0,0,0,0,0,3,0.17,74,62,5
Months,June,17,11,46,40,6,8,0,0,1,5,1,0,4,8,0.2,0.304,0.275,0.579,11,1,2,0,0,0,0,0.226,83,65,7
Months,July,8,5,22,21,3,6,0,1,0,2,6,1,1,1,0.286,0.318,0.381,0.699,8,1,0,0,0,0,1,0.3,119,92,5
Months,August,18,18,68,55,12,14,2,2,1,2,3,1,11,14,0.255,0.379,0.418,0.797,23,3,0,2,0,0,1,0.325,151,123,9
