Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,107,90,336,298,34,57,17,2,12,37,14,6,33,132,0.191,0.275,0.383,0.657,114,3,2,1,2,0,0,0.289,100,83,26
Season Totals,Last 7 days,5,3,11,10,1,1,0,0,0,0,0,0,1,3,0.1,0.182,0.1,0.282,1,0,0,0,0,0,0,0.143,-8,-15,1
Season Totals,Last 14 days,8,5,17,15,2,2,0,0,0,0,1,0,2,5,0.133,0.235,0.133,0.369,2,0,0,0,0,0,0,0.2,20,7,2
Season Totals,Last 28 days,16,10,37,35,4,6,2,0,1,3,1,0,2,13,0.171,0.216,0.314,0.531,11,0,0,0,0,0,0,0.238,61,44,3
Season Totals,Last 365 days,142,116,440,392,51,83,21,4,16,48,21,7,41,166,0.212,0.289,0.408,0.698,160,4,3,1,3,0,0,0.315,112,,42
Platoon Splits,vs RHP,101,,270,244,31,49,14,2,11,31,11,4,24,112,0.201,0.274,0.41,0.684,100,1,1,0,1,0,0,0.312,107,91,22
Platoon Splits,vs LHP,40,,66,54,3,8,3,0,1,6,3,2,9,20,0.148,0.277,0.259,0.536,14,2,1,1,1,0,0,0.206,68,52,4
Platoon Splits,vs RHP as LHB,101,,270,244,,49,14,2,11,31,0,0,24,112,0.201,0.274,0.41,0.684,100,1,1,0,1,0,0,0.312,107,84,22
Platoon Splits,vs LHP as LHB,40,,66,54,,8,3,0,1,6,0,0,9,20,0.148,0.277,0.259,0.536,14,2,1,1,1,0,0,0.206,68,62,4
Platoon Splits,vs RH Starter,82,78,278,246,29,51,14,2,11,35,11,5,27,109,0.207,0.289,0.415,0.703,102,2,2,1,2,0,0,0.313,113,96,24
Platoon Splits,vs LH Starter,25,12,58,52,5,6,3,0,1,2,3,1,6,23,0.115,0.207,0.231,0.438,12,1,0,0,0,0,0,0.179,36,23,2
Home or Away,Home,56,46,160,142,18,26,8,1,7,20,3,5,16,66,0.183,0.27,0.401,0.672,57,1,1,1,0,0,0,0.275,103,84,10
Home or Away,Away,51,44,176,156,16,31,9,1,5,17,11,1,17,66,0.199,0.278,0.365,0.644,57,2,1,0,2,0,0,0.299,96,83,16
First or Second Half,1st Half,89,78,293,258,29,49,15,2,10,33,11,6,30,118,0.19,0.277,0.38,0.657,98,3,2,1,2,0,0,0.296,100,85,22
First or Second Half,2nd Half,18,12,43,40,5,8,2,0,2,4,3,0,3,14,0.2,0.256,0.4,0.656,16,0,0,0,0,0,0,0.25,98,79,4
Months,April/March,28,26,114,103,11,22,9,1,4,11,6,2,11,45,0.214,0.29,0.437,0.726,45,1,0,0,0,0,0,0.333,119,106,8
Months,May,26,23,80,66,7,12,2,0,4,6,2,4,13,29,0.182,0.325,0.394,0.719,26,2,1,0,0,0,0,0.242,121,107,6
Months,June,24,20,71,63,7,10,2,1,0,9,3,0,4,31,0.159,0.214,0.222,0.437,14,0,1,1,2,0,0,0.294,36,23,7
Months,July,20,16,53,50,7,11,4,0,4,11,2,0,3,22,0.22,0.264,0.54,0.804,27,0,0,0,0,0,0,0.292,137,113,3
Months,August,9,5,18,16,2,2,0,0,0,0,1,0,2,5,0.125,0.222,0.125,0.347,2,0,0,0,0,0,0,0.182,13,1,2
Game Outcome for Team,in Wins,50,45,176,152,30,43,12,2,11,33,9,3,20,54,0.283,0.366,0.605,0.971,92,1,1,1,2,0,0,0.36,191,130,18
Game Outcome for Team,in Losses,57,45,160,146,4,14,5,0,1,4,5,3,13,78,0.096,0.175,0.151,0.326,22,2,1,0,0,0,0,0.194,3,12,8
Starter or Substitute,as Starter,90,90,314,277,33,56,16,2,12,37,13,6,32,120,0.202,0.288,0.404,0.692,112,3,2,1,2,0,0,0.299,110,93,26
Starter or Substitute,as Sub,17,0,22,21,1,1,1,0,0,0,1,0,1,12,0.048,0.091,0.095,0.186,2,0,0,0,0,0,0,0.111,-42,-43,0
Defensive Positions,as LF,41,,99,88,8,13,2,1,2,7,3,1,9,35,0.148,0.225,0.261,0.486,23,1,0,1,1,0,0,0.212,50,38,8
Defensive Positions,as CF,38,,121,106,13,26,11,1,7,18,4,4,14,47,0.245,0.339,0.566,0.905,60,1,1,0,0,0,0,0.365,171,156,7
Defensive Positions,as RF,31,,101,90,9,14,2,0,2,10,6,1,9,41,0.156,0.238,0.244,0.482,22,1,1,0,1,0,0,0.25,50,34,10
Defensive Positions,as DH,3,,7,6,4,3,1,0,1,2,1,0,1,2,0.5,0.571,1.167,1.738,7,0,0,0,0,0,0,0.667,412,350,1
Defensive Positions,as PH,9,,9,9,,1,1,0,0,0,0,0,0,8,0.111,0.111,0.222,0.333,2,0,0,0,0,0,0,1.0,-2,3,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Leading Off Inning,1st Batter G,15,,15,14,,1,0,0,1,1,,,1,8,0.071,0.133,0.286,0.419,4,0,0,0,0,0,0,0.0,23,14,0
Leading Off Inning,Leadoff Inn.,62,,91,84,,13,3,0,2,2,,,7,39,0.155,0.22,0.262,0.482,22,0,0,0,0,0,0,0.256,48,39,8
Batting Order Positions,Batting 1st,19,15,72,66,7,12,2,0,4,8,2,1,5,33,0.182,0.25,0.394,0.644,26,0,1,0,0,0,0,0.276,94,73,6
Batting Order Positions,Batting 2nd,11,11,51,45,3,10,5,1,1,4,3,0,6,19,0.222,0.314,0.444,0.758,20,1,0,0,0,0,0,0.36,130,98,3
Batting Order Positions,Batting 3rd,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 4th,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
