Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,90,73,290,269,32,66,9,2,8,26,3,1,17,37,0.245,0.297,0.383,0.68,103,7,3,0,1,2,2,0.258,100,91,47
Season Totals,Last 7 days,6,5,18,17,1,2,1,0,0,0,0,0,1,2,0.118,0.167,0.177,0.343,3,0,0,0,0,0,0,0.133,2,1,1
Season Totals,Last 14 days,11,9,36,35,3,9,2,1,0,2,0,0,1,6,0.257,0.278,0.371,0.649,13,1,0,0,0,0,0,0.31,91,83,6
Season Totals,Last 28 days,14,12,46,45,4,13,2,1,0,2,0,0,1,7,0.289,0.304,0.378,0.682,17,1,0,0,0,0,1,0.342,101,88,10
Season Totals,Last 365 days,119,96,389,362,42,94,13,2,8,34,7,2,22,48,0.26,0.306,0.373,0.679,135,8,3,0,2,3,2,0.279,100,,71
Platoon Splits,vs RHP,86,,257,236,28,61,8,1,8,24,2,1,17,32,0.259,0.315,0.403,0.718,95,5,3,0,1,2,1,0.269,111,102,44
Platoon Splits,vs LHP,27,,33,33,4,5,1,1,0,2,1,0,0,5,0.152,0.152,0.242,0.394,8,2,0,0,0,0,1,0.179,14,9,3
Platoon Splits,vs RHP as LHB,86,,257,236,,61,8,1,8,24,0,0,17,32,0.259,0.315,0.403,0.718,95,5,3,0,1,2,1,0.269,111,96,44
Platoon Splits,vs LHP as LHB,27,,33,33,,5,1,1,0,2,0,0,0,5,0.152,0.152,0.242,0.394,8,2,0,0,0,0,1,0.179,14,16,3
Platoon Splits,vs RH Starter,74,70,262,244,31,60,9,1,8,24,2,1,14,33,0.246,0.294,0.389,0.683,95,7,3,0,1,2,2,0.255,101,91,42
Platoon Splits,vs LH Starter,16,3,28,25,1,6,0,1,0,2,1,0,3,4,0.24,0.321,0.32,0.641,8,0,0,0,0,0,0,0.286,92,82,5
