Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,102,96,440,384,60,94,21,1,16,62,0,1,43,87,0.245,0.327,0.43,0.757,165,6,7,0,6,6,1,0.272,100,112,56
Season Totals,Last 7 days,5,5,20,17,3,2,0,0,0,0,0,0,1,4,0.118,0.25,0.118,0.368,2,0,2,0,0,0,0,0.154,4,12,2
Season Totals,Last 14 days,9,9,37,31,8,7,2,0,1,4,0,0,4,5,0.226,0.351,0.387,0.739,12,0,2,0,0,0,0,0.24,97,107,4
Season Totals,Last 28 days,18,18,77,67,11,10,2,0,1,6,0,0,7,20,0.149,0.26,0.224,0.484,15,1,3,0,0,1,0,0.196,32,36,7
Season Totals,Last 365 days,130,124,572,494,78,118,24,2,20,77,1,1,54,107,0.239,0.325,0.417,0.742,206,8,14,0,10,7,1,0.26,96,,72
Platoon Splits,vs RHP,97,,317,282,44,65,12,1,10,43,0,1,25,68,0.231,0.3,0.387,0.686,109,3,5,0,5,0,1,0.263,82,93,42
Platoon Splits,vs LHP,61,,123,102,16,29,9,0,6,19,0,0,18,19,0.284,0.398,0.549,0.947,56,3,2,0,1,6,0,0.295,149,163,14
Platoon Splits,vs RHP as RHB,97,,317,282,,65,12,1,10,43,0,0,25,68,0.231,0.3,0.387,0.686,109,3,5,0,5,0,1,0.263,82,99,42
Platoon Splits,vs LHP as RHB,61,,123,102,,29,9,0,6,19,0,0,18,19,0.284,0.398,0.549,0.947,56,3,2,0,1,6,0,0.295,149,156,14
Platoon Splits,vs RH Starter,73,68,311,273,40,71,12,1,9,46,0,1,29,67,0.26,0.338,0.41,0.748,112,3,5,0,4,5,0,0.309,99,111,49
Platoon Splits,vs LH Starter,29,28,129,111,20,23,9,0,7,16,0,0,14,20,0.207,0.302,0.478,0.78,53,3,2,0,2,1,1,0.186,103,115,7
Home or Away,Home,49,46,203,174,29,39,9,0,6,32,0,1,23,39,0.224,0.325,0.379,0.704,66,5,4,0,2,3,1,0.252,88,96,24
Home or Away,Away,53,50,237,210,31,55,12,1,10,30,0,0,20,48,0.262,0.329,0.471,0.801,99,1,3,0,4,3,0,0.289,110,126,32
First or Second Half,1st Half,80,74,344,301,48,82,19,1,15,55,0,1,33,63,0.272,0.346,0.492,0.838,148,5,4,0,6,4,1,0.293,120,135,47
First or Second Half,2nd Half,22,22,96,83,12,12,2,0,1,7,0,0,10,24,0.145,0.26,0.205,0.465,17,1,3,0,0,2,0,0.19,27,33,9
Months,April/March,27,25,119,105,17,38,10,0,3,23,0,1,10,16,0.362,0.403,0.543,0.946,57,2,0,0,4,1,1,0.389,150,169,25
Months,May,23,22,96,85,15,18,4,0,6,13,0,0,9,17,0.212,0.302,0.471,0.773,40,1,2,0,0,2,0,0.194,102,120,8
Months,June,20,18,86,74,6,15,3,1,2,14,0,0,8,17,0.203,0.291,0.351,0.642,26,2,2,0,2,0,0,0.228,71,79,9
Months,July,19,18,84,72,13,15,2,0,4,6,0,0,11,26,0.208,0.321,0.403,0.724,29,0,1,0,0,3,0,0.262,92,98,9
Months,August,13,13,55,48,9,8,2,0,1,6,0,0,5,11,0.167,0.273,0.271,0.544,13,1,2,0,0,0,0,0.194,47,53,5
Game Outcome for Team,in Wins,60,59,274,237,48,59,14,1,15,47,0,1,30,47,0.249,0.339,0.506,0.846,120,6,4,0,3,3,0,0.247,121,102,29
Game Outcome for Team,in Losses,42,37,166,147,12,35,7,0,1,15,0,0,13,40,0.238,0.307,0.306,0.613,45,0,3,0,3,3,1,0.312,65,110,27
Starter or Substitute,as Starter,96,96,434,380,60,93,21,1,16,62,0,1,41,86,0.245,0.325,0.432,0.757,164,6,7,0,6,6,1,0.271,100,111,55
Starter or Substitute,as Sub,6,0,6,4,0,1,0,0,0,0,0,0,2,1,0.25,0.5,0.25,0.75,1,0,0,0,0,0,0,0.333,111,137,1
Defensive Positions,as C,93,,421,367,58,91,21,1,14,60,0,1,41,83,0.248,0.33,0.425,0.755,156,6,7,0,6,6,1,0.279,100,119,55
Defensive Positions,as DH,3,,13,13,2,2,0,0,2,2,0,0,0,3,0.154,0.154,0.615,0.769,8,0,0,0,0,0,0,0.0,90,92,0
Defensive Positions,as PH,6,,6,4,,1,0,0,0,0,0,0,2,1,0.25,0.5,0.25,0.75,1,0,0,0,0,0,0,0.333,111,143,1
Leading Off Inning,Leadoff Inn.,64,,86,81,,18,4,0,3,3,,,4,16,0.222,0.267,0.383,0.65,31,0,1,0,0,0,1,0.242,71,85,11
Batting Order Positions,Batting 2nd,28,28,132,114,16,22,3,1,6,15,0,0,15,36,0.193,0.296,0.395,0.69,45,0,2,0,1,3,0,0.219,82,81,12
Batting Order Positions,Batting 3rd,3,3,13,13,1,1,0,0,1,1,0,0,0,5,0.077,0.077,0.308,0.385,4,0,0,0,0,0,0,0.0,-5,-8,0
Batting Order Positions,Batting 4th,60,60,269,238,38,66,17,0,8,45,0,1,23,41,0.277,0.342,0.45,0.792,107,6,3,0,5,3,1,0.299,109,115,41
Batting Order Positions,Batting 6th,5,5,20,15,5,4,1,0,1,1,0,0,3,4,0.267,0.45,0.533,0.983,8,0,2,0,0,0,0,0.3,162,188,2
Batting Order Positions,Batting 7th,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,-100,-100,0
Batting Order Positions,Batting 8th,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,438,515,1
Batting Order Positions,Batting 9th,4,0,4,2,0,0,0,0,0,0,0,0,2,0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0,0.0,53,77,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,75,,128,117,,29,7,0,3,21,,,5,22,0.248,0.281,0.385,0.666,45,1,2,0,4,1,0,0.271,76,90,19
Swung or Took First Pitch of PA,Took 1st Pitch,101,,312,267,,65,14,1,13,41,,,38,65,0.243,0.346,0.449,0.796,120,5,5,0,2,5,1,0.272,110,121,37
Count/Balls-Strikes,First Pitch,38,,47,44,11,14,3,0,3,10,0,1,0,0,0.318,0.34,0.591,0.931,26,0,2,0,1,0,0,0.262,141,105,8
Count/Balls-Strikes,1-0 Count,26,,29,29,5,11,1,0,4,13,0,0,0,0,0.379,0.379,0.828,1.207,24,0,0,0,0,0,0,0.28,209,156,6
Count/Balls-Strikes,2-0 Count,9,,9,9,2,4,2,0,0,1,0,0,0,0,0.444,0.444,0.667,1.111,6,1,0,0,0,0,0,0.444,191,136,2
Count/Balls-Strikes,3-0 Count,12,,12,0,,0,0,0,0,0,0,0,12,0,,1.0,,,0,0,0,0,0,5,0,,,,0
Count/Balls-Strikes,0-1 Count,23,,27,27,8,6,3,0,0,3,0,0,0,0,0.222,0.222,0.333,0.556,9,1,0,0,0,0,0,0.222,45,32,3
Count/Balls-Strikes,1-1 Count,27,,32,30,5,10,3,0,0,4,0,0,0,0,0.333,0.375,0.433,0.808,13,1,2,0,0,0,0,0.333,115,98,7
Count/Balls-Strikes,2-1 Count,12,,12,12,7,5,0,0,4,6,0,0,0,0,0.417,0.417,1.417,1.833,17,0,0,0,0,0,0,0.125,357,263,1
Count/Balls-Strikes,3-1 Count,20,,22,11,2,3,0,0,0,1,0,0,10,0,0.273,0.636,0.273,0.909,3,0,1,0,0,1,0,0.273,158,34,3
Count/Balls-Strikes,0-2 Count,31,,33,32,3,7,3,0,0,4,0,0,0,10,0.219,0.242,0.313,0.555,10,0,1,0,0,0,0,0.318,47,192,4
Count/Balls-Strikes,1-2 Count,49,,67,65,7,15,2,1,2,7,0,0,0,28,0.231,0.224,0.385,0.609,25,1,0,0,2,0,0,0.351,58,189,10
Count/Balls-Strikes,2-2 Count,67,,80,79,6,11,3,0,2,6,0,0,0,29,0.139,0.138,0.253,0.391,20,1,0,0,1,0,1,0.184,1,71,6
Count/Balls-Strikes,Full Count,52,,70,46,4,8,1,0,1,7,0,0,21,20,0.174,0.429,0.261,0.69,12,1,1,0,2,0,0,0.259,92,73,6
Count/Balls-Strikes,After 1-0,90,,178,143,,36,6,0,6,23,,,32,29,0.252,0.393,0.42,0.813,60,2,2,0,1,5,0,0.275,118,103,24
Count/Balls-Strikes,After 2-0,46,,64,39,,11,2,0,0,5,,,25,8,0.282,0.563,0.333,0.896,13,1,0,0,0,5,0,0.355,150,86,9
Count/Balls-Strikes,After 3-0,21,,23,8,,4,0,0,0,2,,,15,0,0.5,0.826,0.5,1.326,4,0,0,0,0,5,0,0.5,269,110,4
Count/Balls-Strikes,After 0-1,90,,212,194,,43,12,1,7,29,,,11,57,0.222,0.269,0.402,0.671,78,4,3,0,4,1,1,0.269,76,120,23
Count/Balls-Strikes,After 1-1,93,,188,164,,37,8,0,7,22,,,16,46,0.226,0.303,0.402,0.706,66,3,4,0,4,1,1,0.261,86,111,22
Count/Balls-Strikes,After 2-1,67,,99,76,,16,3,0,4,13,,,20,26,0.211,0.374,0.408,0.782,31,0,1,0,2,1,0,0.25,109,99,9
Count/Balls-Strikes,After 3-1,40,,47,25,,5,0,0,0,3,,,21,6,0.2,0.575,0.2,0.775,5,0,1,0,0,1,0,0.263,122,44,5
Count/Balls-Strikes,After 0-2,62,,82,78,,14,4,1,2,9,,,2,32,0.18,0.207,0.333,0.541,26,1,1,0,1,0,0,0.267,41,136,7
Count/Balls-Strikes,After 1-2,86,,139,127,,21,3,1,5,12,,,8,51,0.165,0.216,0.323,0.539,41,3,1,0,3,0,1,0.216,41,115,12
Count/Balls-Strikes,After 2-2,82,,124,110,,16,4,0,3,11,,,10,43,0.146,0.218,0.264,0.481,29,2,1,0,3,0,1,0.194,28,65,9
Count/Balls-Strikes,Zero Balls,75,,107,103,22,27,9,0,3,17,0,1,0,10,0.262,0.28,0.437,0.717,45,1,3,0,1,0,0,0.264,87,99,15
Count/Balls-Strikes,Zero Strikes,70,,97,82,18,29,6,0,7,24,0,1,12,0,0.354,0.443,0.683,1.126,56,1,2,0,1,5,0,0.29,194,133,16
Count/Balls-Strikes,Three Balls,70,,104,57,6,11,1,0,1,8,0,0,43,20,0.193,0.539,0.263,0.802,15,1,2,0,2,6,0,0.263,126,66,9
Count/Balls-Strikes,Two Strikes,100,,250,222,20,41,9,1,5,24,0,0,21,87,0.185,0.256,0.302,0.558,67,3,2,0,5,0,1,0.267,49,118,26
Count/Balls-Strikes,Batter Ahead,85,,154,107,20,31,4,0,9,28,0,0,43,20,0.29,0.494,0.579,1.073,62,2,2,0,2,6,0,0.275,186,124,18
Count/Balls-Strikes,Even Count,90,,159,153,22,35,9,0,5,20,0,1,0,29,0.229,0.245,0.386,0.631,59,2,4,0,2,0,1,0.248,65,81,21
Count/Balls-Strikes,Pitcher Ahead,77,,127,124,18,28,8,1,2,14,0,0,0,38,0.226,0.228,0.355,0.583,44,2,1,0,2,0,0,0.302,52,124,17
Number of Outs in Inning,0 outs,88,,140,132,16,32,7,0,5,15,0,0,7,28,0.242,0.286,0.409,0.695,54,2,1,0,0,0,1,0.273,83,92,20
Number of Outs in Inning,1 out,86,,157,130,23,33,7,0,7,32,0,0,17,35,0.254,0.344,0.469,0.813,61,4,4,0,6,3,0,0.277,114,126,19
Number of Outs in Inning,2 outs,89,,143,122,21,29,7,1,4,15,0,1,19,24,0.238,0.35,0.41,0.76,50,0,2,0,0,3,0,0.266,102,118,17
Bases Occupied,RISP,80,,139,107,41,31,7,0,2,44,0,0,24,23,0.29,0.41,0.411,0.821,44,2,2,0,6,6,0,0.33,121,123,22
Bases Occupied,---,97,,225,207,13,48,10,0,13,13,0,0,13,50,0.232,0.293,0.469,0.762,97,0,5,0,0,0,1,0.243,99,118,25
Bases Occupied,Men On,94,,215,177,47,46,11,1,3,49,0,1,30,37,0.26,0.363,0.384,0.747,68,6,2,0,6,6,0,0.301,100,103,31
Bases Occupied,1--,67,,76,70,6,15,4,1,1,5,0,1,6,14,0.214,0.276,0.343,0.619,24,4,0,0,0,0,0,0.255,64,67,9
Bases Occupied,-2-,44,,56,43,9,10,2,0,0,8,0,0,12,9,0.233,0.411,0.279,0.69,12,0,1,0,0,4,0,0.294,91,92,8
Bases Occupied,--3,12,,12,10,,1,1,0,0,5,0,0,0,1,0.1,0.083,0.2,0.283,2,0,0,0,2,0,0,0.091,-28,-29,0
Bases Occupied,12-,34,,39,32,9,12,3,0,2,16,0,0,6,9,0.375,0.487,0.656,1.144,21,1,1,0,0,0,0,0.476,202,218,7
Bases Occupied,1-3,14,,12,9,5,4,0,0,0,7,0,0,0,1,0.444,0.333,0.444,0.778,4,1,0,0,3,0,0,0.364,105,91,4
Bases Occupied,-23,9,,10,5,9,2,1,0,0,4,0,0,5,1,0.4,0.7,0.6,1.3,3,0,0,0,0,2,0,0.5,254,229,1
Bases Occupied,123,10,,10,8,9,2,0,0,0,4,0,0,1,2,0.25,0.3,0.25,0.55,2,0,0,0,1,0,0,0.286,50,59,2
Bases Occupied,"on 1st,",62,,91,76,20,24,6,0,3,28,0,0,10,17,0.316,0.385,0.513,0.898,39,6,1,0,4,0,0,0.35,137,137,15
Bases Occupied,"on 3rd,",21,,23,14,14,8,2,0,0,19,0,0,3,3,0.571,0.478,0.714,1.193,10,1,0,0,6,1,0,0.471,212,179,6
Bases Occupied,"on 3rd, 2 out",20,,21,18,9,1,0,0,0,1,0,0,3,2,0.056,0.191,0.056,0.246,1,0,0,0,0,1,0,0.063,-29,-27,1
Bases Occupied,"0 out, ---",71,,98,93,4,20,4,0,4,4,0,0,4,18,0.215,0.255,0.387,0.642,36,0,1,0,0,0,1,0.225,68,82,12
Bases Occupied,"0 out, 1--",25,,22,19,3,5,1,0,1,3,0,0,3,4,0.263,0.364,0.474,0.837,9,2,0,0,0,0,0,0.286,122,118,3
