Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,10,8,33,32,3,11,3,0,0,5,0,0,1,5,0.344,0.364,0.438,0.801,14,2,0,0,0,0,1,0.407,100,126,8
Season Totals,Last 7 days,7,5,21,20,1,4,0,0,0,2,0,0,1,3,0.2,0.238,0.2,0.438,4,2,0,0,0,0,1,0.235,11,31,4
Season Totals,Last 14 days,10,8,33,32,3,11,3,0,0,5,0,0,1,5,0.344,0.364,0.438,0.801,14,2,0,0,0,0,1,0.407,100,128,8
Season Totals,Last 28 days,10,8,33,32,3,11,3,0,0,5,0,0,1,5,0.344,0.364,0.438,0.801,14,2,0,0,0,0,1,0.407,100,121,8
Season Totals,Last 365 days,10,8,33,32,3,11,3,0,0,5,0,0,1,5,0.344,0.364,0.438,0.801,14,2,0,0,0,0,1,0.407,100,,8
Platoon Splits,vs RHP,9,,25,24,3,10,3,0,0,4,0,0,1,2,0.417,0.44,0.542,0.982,13,2,0,0,0,0,1,0.455,145,177,7
Platoon Splits,vs LHP,6,,8,8,,1,0,0,0,1,0,0,0,3,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.2,-37,-29,1
Platoon Splits,vs RHP as LHB,9,,25,24,,10,3,0,0,4,0,0,1,2,0.417,0.44,0.542,0.982,13,2,0,0,0,0,1,0.455,145,168,7
Platoon Splits,vs LHP as LHB,6,,8,8,,1,0,0,0,1,0,0,0,3,0.125,0.125,0.125,0.25,1,0,0,0,0,0,0,0.2,-37,-25,1
Platoon Splits,vs RH Starter,7,6,25,25,2,9,3,0,0,4,0,0,0,4,0.36,0.36,0.48,0.84,12,2,0,0,0,0,1,0.429,109,135,6
Platoon Splits,vs LH Starter,3,2,8,7,1,2,0,0,0,1,0,0,1,1,0.286,0.375,0.286,0.661,2,0,0,0,0,0,0,0.333,68,91,2
Home or Away,Home,5,4,17,17,1,3,0,0,0,2,0,0,0,2,0.177,0.177,0.177,0.353,3,2,0,0,0,0,1,0.2,-12,-1,3
Home or Away,Away,5,4,16,15,2,8,3,0,0,3,0,0,1,3,0.533,0.563,0.733,1.296,11,0,0,0,0,0,0,0.667,222,268,5
First or Second Half,2nd Half,10,8,33,32,3,11,3,0,0,5,0,0,1,5,0.344,0.364,0.438,0.801,14,2,0,0,0,0,1,0.407,100,123,8
Months,August,10,8,33,32,3,11,3,0,0,5,0,0,1,5,0.344,0.364,0.438,0.801,14,2,0,0,0,0,1,0.407,100,123,8
Game Outcome for Team,in Wins,6,5,20,20,2,7,3,0,0,5,0,0,0,2,0.35,0.35,0.5,0.85,10,2,0,0,0,0,1,0.389,110,103,4
Game Outcome for Team,in Losses,4,3,13,12,1,4,0,0,0,0,0,0,1,3,0.333,0.385,0.333,0.718,4,0,0,0,0,0,0,0.444,82,147,4
