Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,127,120,518,460,73,117,28,5,10,49,12,8,41,125,0.254,0.336,0.402,0.738,185,7,16,0,1,0,6,0.328,100,108,74
Season Totals,Last 7 days,6,6,26,23,3,5,1,0,0,4,0,1,2,5,0.217,0.308,0.261,0.569,6,1,1,0,0,0,0,0.278,57,70,4
Season Totals,Last 14 days,13,12,52,49,7,10,3,0,2,8,0,1,2,16,0.204,0.25,0.388,0.638,19,1,1,0,0,0,0,0.258,71,78,5
Season Totals,Last 28 days,25,24,102,96,15,22,4,0,3,15,2,1,5,27,0.229,0.275,0.365,0.639,35,2,1,0,0,0,0,0.288,73,76,15
Season Totals,Last 365 days,150,141,612,540,91,142,31,7,14,57,16,9,51,146,0.263,0.345,0.424,0.769,229,9,18,1,2,0,6,0.335,108,,90
Platoon Splits,vs RHP,117,,385,334,55,85,20,4,6,38,10,6,35,91,0.255,0.351,0.392,0.743,131,5,15,0,1,0,5,0.332,102,111,55
Platoon Splits,vs LHP,68,,133,126,18,32,8,1,4,11,2,2,6,34,0.254,0.293,0.429,0.722,54,2,1,0,0,0,1,0.318,94,100,19
Platoon Splits,vs RHP as RHB,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Platoon Splits,vs RHP as LHB,117,,384,333,,85,20,4,6,38,0,0,35,91,0.255,0.352,0.393,0.745,131,5,15,0,1,0,5,0.333,103,105,55
Platoon Splits,vs LHP as RHB,68,,133,126,,32,8,1,4,11,0,0,6,34,0.254,0.293,0.429,0.722,54,2,1,0,0,0,1,0.318,94,95,19
Platoon Splits,vs RH Starter,90,87,381,328,56,87,22,4,6,34,8,5,36,88,0.265,0.365,0.412,0.776,135,5,16,0,1,0,5,0.345,111,120,55
Platoon Splits,vs LH Starter,37,33,137,132,17,30,6,1,4,15,4,3,5,37,0.227,0.256,0.379,0.634,50,2,0,0,0,0,1,0.286,70,76,19
Home or Away,Home,61,58,250,222,35,61,17,1,5,26,8,2,23,59,0.275,0.352,0.428,0.78,95,2,4,0,1,0,0,0.352,111,117,38
Home or Away,Away,66,62,268,238,38,56,11,4,5,23,4,6,18,66,0.235,0.321,0.378,0.699,90,5,12,0,0,0,6,0.305,90,100,36
First or Second Half,1st Half,96,90,386,339,54,90,22,5,7,30,10,7,32,88,0.266,0.352,0.422,0.774,143,5,14,0,1,0,6,0.339,110,119,56
First or Second Half,2nd Half,31,30,132,121,19,27,6,0,3,19,2,1,9,37,0.223,0.288,0.347,0.635,42,2,2,0,0,0,0,0.296,72,76,18
Months,April/March,29,25,107,95,12,24,7,1,2,11,2,2,8,34,0.253,0.327,0.411,0.738,39,1,3,0,1,0,2,0.367,100,111,14
Months,May,28,28,109,97,18,27,5,3,2,5,5,2,11,18,0.278,0.358,0.454,0.811,44,1,1,0,0,0,3,0.325,120,134,17
Months,June,27,26,117,102,21,30,9,1,3,11,3,0,7,29,0.294,0.385,0.49,0.875,50,2,8,0,0,0,1,0.386,137,143,17
Months,July,22,21,99,85,9,17,3,0,0,7,0,3,11,21,0.2,0.313,0.235,0.548,20,1,3,0,0,0,0,0.266,52,55,14
Months,August,21,20,86,81,13,19,4,0,3,15,2,1,4,23,0.235,0.279,0.395,0.674,32,2,1,0,0,0,0,0.291,81,86,12
Game Outcome for Team,in Wins,70,67,296,264,57,87,18,5,9,43,8,8,22,64,0.33,0.399,0.538,0.937,142,4,9,0,1,0,2,0.406,153,125,55
Game Outcome for Team,in Losses,57,53,222,196,16,30,10,0,1,6,4,0,19,61,0.153,0.252,0.219,0.472,43,3,7,0,0,0,4,0.216,30,62,19
Starter or Substitute,as Starter,120,120,510,452,73,116,28,5,10,49,12,8,41,121,0.257,0.339,0.407,0.746,184,7,16,0,1,0,6,0.329,102,110,73
