Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,83,82,356,300,48,79,17,0,15,36,4,1,45,96,0.263,0.379,0.47,0.849,141,7,11,0,0,2,0,0.339,100,139,47
Season Totals,Last 7 days,6,6,28,22,3,7,1,0,0,2,1,0,4,6,0.318,0.464,0.364,0.828,8,2,2,0,0,1,0,0.438,100,148,6
Season Totals,Last 14 days,11,11,49,43,4,12,2,0,0,2,1,0,4,13,0.279,0.367,0.326,0.693,14,2,2,0,0,1,0,0.4,66,100,10
Season Totals,Last 28 days,25,25,110,95,13,23,4,0,4,10,1,0,10,28,0.242,0.346,0.411,0.756,39,2,5,0,0,1,0,0.302,79,109,15
Season Totals,Last 365 days,101,100,428,363,60,98,19,0,22,52,4,2,52,110,0.27,0.379,0.504,0.884,183,8,12,1,0,2,1,0.329,107,,57
Platoon Splits,vs RHP,81,,266,225,35,59,12,0,11,27,2,0,30,74,0.262,0.376,0.462,0.838,104,0,11,0,0,1,0,0.343,98,136,36
Platoon Splits,vs LHP,38,,90,75,13,20,5,0,4,9,2,1,15,22,0.267,0.389,0.493,0.882,37,7,0,0,0,1,0,0.327,108,146,11
Platoon Splits,vs RHP as RHB,81,,266,225,,59,12,0,11,27,0,0,30,74,0.262,0.376,0.462,0.838,104,0,11,0,0,1,0,0.343,98,143,36
Platoon Splits,vs LHP as RHB,38,,90,75,,20,5,0,4,9,0,0,15,22,0.267,0.389,0.493,0.882,37,7,0,0,0,1,0,0.327,108,140,11
Platoon Splits,vs RH Starter,59,58,248,209,34,59,12,0,10,25,3,0,30,69,0.282,0.395,0.483,0.879,101,1,9,0,0,2,0,0.377,107,147,37
Platoon Splits,vs LH Starter,24,24,108,91,14,20,5,0,5,11,1,1,15,27,0.22,0.343,0.44,0.782,40,6,2,0,0,0,0,0.254,84,119,10
Home or Away,Home,42,41,174,141,27,35,5,0,5,14,2,0,27,44,0.248,0.391,0.39,0.781,55,3,6,0,0,2,0,0.326,86,120,25
Home or Away,Away,41,41,182,159,21,44,12,0,10,22,2,1,18,52,0.277,0.368,0.541,0.909,86,4,5,0,0,0,0,0.351,112,156,22
First or Second Half,1st Half,51,50,216,177,31,48,13,0,10,24,3,1,33,58,0.271,0.403,0.514,0.917,91,4,6,0,0,1,0,0.349,116,159,25
First or Second Half,2nd Half,32,32,140,123,17,31,4,0,5,12,1,0,12,38,0.252,0.343,0.407,0.749,50,3,5,0,0,1,0,0.325,77,108,22
Months,April/March,25,25,106,89,13,23,8,0,4,9,1,0,14,26,0.258,0.377,0.483,0.861,43,1,3,0,0,1,0,0.322,102,146,11
