Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,99,80,344,309,51,83,27,2,14,50,7,2,31,98,0.269,0.334,0.505,0.839,156,4,1,0,3,0,2,0.345,100,133,40
Season Totals,Last 7 days,4,4,13,12,1,3,2,0,0,2,0,0,1,3,0.25,0.308,0.417,0.724,5,0,0,0,0,0,0,0.333,75,111,1
Season Totals,Last 14 days,11,11,41,38,5,10,3,0,2,8,0,0,3,11,0.263,0.317,0.5,0.817,19,0,0,0,0,0,0,0.32,94,128,5
Season Totals,Last 28 days,22,20,81,72,13,20,5,0,6,18,0,0,9,23,0.278,0.358,0.597,0.955,43,0,0,0,0,0,0,0.326,125,158,9
Season Totals,Last 365 days,125,98,421,378,60,105,32,2,16,63,10,2,39,120,0.278,0.344,0.5,0.844,189,4,1,0,3,0,2,0.363,102,,55
Platoon Splits,vs RHP,97,,295,264,47,75,26,2,13,45,7,2,27,82,0.284,0.349,0.546,0.895,144,3,1,0,3,0,1,0.361,112,149,34
Platoon Splits,vs LHP,38,,49,45,4,8,1,0,1,5,0,0,4,16,0.178,0.245,0.267,0.512,12,1,0,0,0,0,1,0.25,26,44,6
Platoon Splits,vs RHP as LHB,97,,295,264,,75,26,2,13,45,0,0,27,82,0.284,0.349,0.546,0.895,144,3,1,0,3,0,1,0.361,112,140,34
Platoon Splits,vs LHP as LHB,38,,49,45,,8,1,0,1,5,0,0,4,16,0.178,0.245,0.267,0.512,12,1,0,0,0,0,1,0.25,26,54,6
Platoon Splits,vs RH Starter,76,75,292,262,44,72,21,2,14,44,6,2,27,76,0.275,0.339,0.531,0.87,139,3,0,0,3,0,1,0.331,107,141,35
Platoon Splits,vs LH Starter,23,5,52,47,7,11,6,0,0,6,1,0,4,22,0.234,0.308,0.362,0.669,17,1,1,0,0,0,1,0.44,64,89,5
Home or Away,Home,50,42,172,155,29,44,16,2,6,24,5,1,16,42,0.284,0.349,0.529,0.878,82,1,0,0,1,0,1,0.352,109,140,20
Home or Away,Away,49,38,172,154,22,39,11,0,8,26,2,1,15,56,0.253,0.32,0.481,0.8,74,3,1,0,2,0,1,0.337,91,126,20
First or Second Half,1st Half,71,58,247,223,35,59,20,2,8,29,7,2,22,69,0.265,0.328,0.48,0.808,107,3,0,0,2,0,2,0.345,93,126,29
First or Second Half,2nd Half,28,22,97,86,16,24,7,0,6,21,0,0,9,29,0.279,0.351,0.57,0.92,49,1,1,0,1,0,0,0.346,118,151,11
Months,April/March,24,19,87,76,14,24,8,1,2,12,4,0,10,21,0.316,0.391,0.526,0.917,40,0,0,0,1,0,2,0.407,121,161,13
Months,May,27,23,94,86,11,20,5,1,4,10,3,1,8,28,0.233,0.298,0.454,0.751,39,2,0,0,0,0,0,0.296,79,114,10
Months,June,9,8,31,29,5,8,3,0,0,0,0,0,2,6,0.276,0.323,0.379,0.702,11,1,0,0,0,0,0,0.348,72,96,5
Months,July,21,14,68,60,12,15,8,0,3,13,0,1,5,22,0.25,0.309,0.533,0.842,32,1,1,0,2,0,0,0.324,98,125,4
Months,August,18,16,64,58,9,16,3,0,5,15,0,0,6,21,0.276,0.344,0.586,0.93,34,0,0,0,0,0,0,0.344,119,153,8
Game Outcome for Team,in Wins,52,44,191,170,36,56,17,2,9,34,4,2,20,47,0.329,0.398,0.612,1.01,104,2,0,0,1,0,1,0.409,140,140,28
Game Outcome for Team,in Losses,47,36,153,139,15,27,10,0,5,16,3,0,11,51,0.194,0.255,0.374,0.629,52,2,1,0,2,0,1,0.259,50,112,12
Starter or Substitute,as Starter,80,80,310,280,47,77,23,2,14,47,7,2,27,82,0.275,0.336,0.521,0.857,146,3,0,0,3,0,2,0.337,104,137,38
Starter or Substitute,as Sub,19,0,34,29,4,6,4,0,0,3,0,0,4,16,0.207,0.324,0.345,0.668,10,1,1,0,0,0,0,0.462,65,104,2
Defensive Positions,as LF,4,,19,16,4,8,2,0,2,5,0,0,3,2,0.5,0.579,1.0,1.579,16,0,0,0,0,0,1,0.5,271,338,4
Defensive Positions,as CF,1,,1,1,,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,397,485,1
Defensive Positions,as RF,89,,308,278,45,71,23,2,12,43,7,2,26,87,0.255,0.318,0.482,0.8,134,4,1,0,3,0,1,0.324,91,117,34
Defensive Positions,as PH,16,,16,14,1,3,2,0,0,2,0,0,2,9,0.214,0.313,0.357,0.67,5,0,0,0,0,0,0,0.6,64,109,1
