Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,102,102,420,378,45,91,17,4,7,50,12,3,37,89,0.241,0.31,0.362,0.672,137,5,2,0,3,3,2,0.295,100,90,63
Season Totals,Last 7 days,5,5,19,17,1,4,0,0,0,1,1,0,2,6,0.235,0.316,0.235,0.551,4,0,0,0,0,0,0,0.364,67,66,4
Season Totals,Last 14 days,13,13,53,47,6,11,0,0,1,6,2,0,5,15,0.234,0.302,0.298,0.6,14,0,0,0,1,0,0,0.313,80,72,10
Season Totals,Last 28 days,22,22,89,79,12,18,3,0,2,8,3,1,9,22,0.228,0.303,0.342,0.645,27,0,0,0,1,0,0,0.286,92,79,13
Season Totals,Last 365 days,102,102,420,378,45,91,17,4,7,50,12,3,37,89,0.241,0.31,0.362,0.672,137,5,2,0,3,3,2,0.295,100,,63
Platoon Splits,vs RHP,99,,334,309,35,73,16,1,4,35,11,2,22,71,0.236,0.287,0.333,0.621,103,5,1,0,2,1,1,0.292,85,76,52
Platoon Splits,vs LHP,40,,86,69,10,18,1,3,3,15,1,1,15,18,0.261,0.395,0.493,0.888,34,0,1,0,1,2,1,0.306,164,148,11
Platoon Splits,vs RHP as RHB,99,,334,309,,73,16,1,4,35,0,0,22,71,0.236,0.287,0.333,0.621,103,5,1,0,2,1,1,0.292,85,81,52
Platoon Splits,vs LHP as RHB,40,,86,69,,18,1,3,3,15,0,0,15,18,0.261,0.395,0.493,0.888,34,0,1,0,1,2,1,0.306,164,142,11
Platoon Splits,vs RH Starter,78,78,321,293,34,72,14,1,5,37,10,3,25,67,0.246,0.305,0.352,0.657,103,5,1,0,2,1,1,0.3,96,86,52
Platoon Splits,vs LH Starter,24,24,99,85,11,19,3,3,2,13,2,0,12,22,0.224,0.323,0.4,0.723,34,0,1,0,1,2,1,0.274,115,103,11
Home or Away,Home,54,54,219,192,20,50,11,3,3,28,6,1,24,44,0.26,0.343,0.396,0.738,76,3,1,0,2,2,2,0.32,120,106,33
Home or Away,Away,48,48,201,186,25,41,6,1,4,22,6,2,13,45,0.22,0.274,0.328,0.602,61,2,1,0,1,1,0,0.268,79,72,30
First or Second Half,1st Half,72,72,296,268,30,68,12,4,5,40,8,2,24,60,0.254,0.318,0.384,0.702,103,5,2,0,2,3,2,0.307,109,99,47
First or Second Half,2nd Half,30,30,124,110,15,23,5,0,2,10,4,1,13,29,0.209,0.29,0.309,0.599,34,0,0,0,1,0,0,0.263,79,68,16
Months,April/March,28,28,118,105,13,25,3,1,1,11,1,1,11,26,0.238,0.314,0.314,0.628,33,2,1,0,1,1,2,0.304,88,82,20
Months,May,6,6,21,21,1,3,0,0,0,2,0,0,0,4,0.143,0.143,0.143,0.286,3,0,0,0,0,0,0,0.177,-14,-17,3
Months,June,26,26,106,97,11,30,6,3,3,22,6,0,8,17,0.309,0.368,0.526,0.894,51,2,1,0,0,1,0,0.351,164,147,18
