Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,77,77,329,307,40,84,12,1,6,28,7,1,19,57,0.274,0.316,0.378,0.694,116,7,1,0,2,0,3,0.317,100,95,65
Season Totals,Last 7 days,6,6,25,23,3,7,1,0,1,4,1,1,2,3,0.304,0.36,0.478,0.838,11,1,0,0,0,0,0,0.316,140,141,5
Season Totals,Last 14 days,13,13,56,51,7,14,2,0,1,6,1,1,5,9,0.275,0.339,0.373,0.712,19,2,0,0,0,0,0,0.317,106,99,11
Season Totals,Last 28 days,24,24,104,95,16,33,6,1,2,13,2,1,7,16,0.347,0.394,0.495,0.889,47,5,1,0,1,0,1,0.397,156,143,24
Season Totals,Last 365 days,113,113,486,450,67,134,23,3,12,44,13,2,27,81,0.298,0.34,0.442,0.782,199,12,4,0,5,0,3,0.337,125,,96
Platoon Splits,vs RHP,76,,249,238,30,68,10,0,5,22,3,0,10,47,0.286,0.317,0.391,0.708,93,6,1,0,0,0,2,0.339,104,100,53
Platoon Splits,vs LHP,36,,80,69,10,16,2,1,1,6,4,1,9,10,0.232,0.313,0.333,0.646,23,1,0,0,2,0,1,0.25,87,82,12
Platoon Splits,vs RHP as RHB,76,,249,238,,68,10,0,5,22,0,0,10,47,0.286,0.317,0.391,0.708,93,6,1,0,0,0,2,0.339,104,105,53
Platoon Splits,vs LHP as RHB,36,,80,69,,16,2,1,1,6,0,0,9,10,0.232,0.313,0.333,0.646,23,1,0,0,2,0,1,0.25,87,78,12
Platoon Splits,vs RH Starter,55,55,232,220,28,57,10,1,6,23,2,0,10,44,0.259,0.293,0.396,0.689,87,4,1,0,1,0,2,0.298,97,93,40
Platoon Splits,vs LH Starter,22,22,97,87,12,27,2,0,0,5,5,1,9,13,0.31,0.371,0.333,0.704,29,3,0,0,1,0,1,0.36,106,101,25
Home or Away,Home,37,37,151,142,13,36,3,0,4,15,2,0,7,31,0.254,0.291,0.359,0.651,51,3,1,0,1,0,2,0.296,87,80,29
Home or Away,Away,40,40,178,165,27,48,9,1,2,13,5,1,12,26,0.291,0.337,0.394,0.731,65,4,0,0,1,0,1,0.333,111,109,36
First or Second Half,1st Half,49,49,208,195,23,45,6,0,4,15,4,0,12,40,0.231,0.274,0.323,0.597,63,2,0,0,1,0,1,0.27,72,69,35
First or Second Half,2nd Half,28,28,121,112,17,39,6,1,2,13,3,1,7,17,0.348,0.388,0.473,0.862,53,5,1,0,1,0,2,0.394,148,138,30
Months,April/March,32,32,141,129,17,28,3,0,2,11,2,0,12,26,0.217,0.284,0.287,0.571,37,1,0,0,0,0,1,0.257,66,65,23
Months,May,15,15,59,58,6,13,3,0,2,3,2,0,0,14,0.224,0.22,0.379,0.6,22,1,0,0,1,0,0,0.256,70,69,8
Months,July,13,13,56,53,8,24,4,1,1,6,1,0,2,5,0.453,0.464,0.623,1.087,33,1,0,0,1,0,2,0.479,212,196,18
Months,August,17,17,73,67,9,19,2,0,1,8,2,1,5,12,0.284,0.343,0.358,0.701,24,4,1,0,0,0,0,0.333,103,96,16
Game Outcome for Team,in Wins,46,46,201,183,33,61,8,1,3,20,7,1,15,31,0.333,0.383,0.437,0.82,80,6,1,0,2,0,2,0.384,137,100,49
Game Outcome for Team,in Losses,31,31,128,124,7,23,4,0,3,8,0,0,4,26,0.186,0.211,0.29,0.501,36,1,0,0,0,0,1,0.211,44,69,16
Starter or Substitute,as Starter,77,77,329,307,40,84,12,1,6,28,7,1,19,57,0.274,0.316,0.378,0.694,116,7,1,0,2,0,3,0.317,100,95,65
Defensive Positions,as 2B,68,,291,271,34,72,11,1,5,25,5,1,19,53,0.266,0.313,0.369,0.682,100,6,0,0,1,0,3,0.313,97,100,55
Defensive Positions,as DH,9,,38,36,6,12,1,0,1,3,2,0,0,4,0.333,0.342,0.444,0.787,16,1,1,0,1,0,0,0.344,126,110,10
Leading Off Inning,1st Batter G,29,,29,27,,7,2,0,0,0,,,2,8,0.259,0.31,0.333,0.644,9,0,0,0,0,0,1,0.368,86,83,5
Leading Off Inning,Leadoff Inn.,65,,103,95,,25,4,0,1,1,,,7,18,0.263,0.32,0.337,0.657,32,0,1,0,0,0,1,0.316,90,90,20
Batting Order Positions,Batting 1st,29,29,129,118,17,25,3,0,2,11,2,0,11,23,0.212,0.279,0.288,0.567,34,1,0,0,0,0,1,0.247,65,56,20
Batting Order Positions,Batting 3rd,8,8,38,33,7,13,1,0,0,4,1,1,4,5,0.394,0.447,0.424,0.872,14,2,0,0,1,0,1,0.448,154,128,12
Batting Order Positions,Batting 4th,2,2,7,7,0,3,0,0,0,2,0,0,0,1,0.429,0.429,0.429,0.857,3,0,0,0,0,0,0,0.5,149,138,3
Batting Order Positions,Batting 5th,28,28,117,112,11,34,7,1,2,8,2,0,4,17,0.304,0.333,0.438,0.771,49,3,1,0,0,0,1,0.344,121,113,24
Batting Order Positions,Batting 6th,10,10,38,37,5,9,1,0,2,3,2,0,0,11,0.243,0.237,0.432,0.669,16,1,0,0,1,0,0,0.28,89,91,6
Swung or Took First Pitch of PA,Swung at 1st Pitch,56,,70,70,,26,3,0,0,8,,,0,8,0.371,0.371,0.414,0.786,29,2,0,0,0,0,1,0.419,127,129,23
Swung or Took First Pitch of PA,Took 1st Pitch,77,,259,237,,58,9,1,6,20,,,19,49,0.245,0.301,0.367,0.668,87,5,1,0,2,0,2,0.283,92,86,42
Count/Balls-Strikes,First Pitch,30,,35,34,9,14,1,0,0,3,0,0,0,0,0.412,0.429,0.441,0.87,15,1,1,0,0,0,1,0.412,152,104,13
Count/Balls-Strikes,1-0 Count,12,,12,12,6,7,0,0,1,2,0,0,0,0,0.583,0.583,0.833,1.417,10,0,0,0,0,0,0,0.546,305,217,6
Count/Balls-Strikes,2-0 Count,8,,8,8,1,1,0,0,1,1,0,0,0,0,0.125,0.125,0.5,0.625,4,0,0,0,0,0,1,0.0,72,17,0
Count/Balls-Strikes,3-0 Count,,,,,1,,,,,,0,0,,,,,,,,,,,,,,,,,
Count/Balls-Strikes,0-1 Count,40,,48,48,3,15,2,0,0,6,0,1,0,0,0.313,0.313,0.354,0.667,17,1,0,0,0,0,0,0.313,93,64,13
Count/Balls-Strikes,1-1 Count,21,,24,24,7,8,2,0,1,3,0,0,0,0,0.333,0.333,0.542,0.875,13,0,0,0,0,0,1,0.304,149,106,5
