Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,47,47,202,172,25,60,8,2,1,17,22,2,26,31,0.349,0.428,0.436,0.864,75,0,0,1,3,0,1,0.413,100,146,49
Season Totals,Last 7 days,6,6,23,21,1,6,1,1,0,4,2,0,2,2,0.286,0.348,0.429,0.776,9,0,0,0,0,0,0,0.316,80,127,4
Season Totals,Last 14 days,11,11,48,40,6,12,2,1,0,4,9,0,8,5,0.3,0.417,0.4,0.817,16,0,0,0,0,0,1,0.343,89,135,9
Season Totals,Last 28 days,24,24,107,92,13,31,4,2,1,9,16,0,13,16,0.337,0.415,0.457,0.872,42,0,0,1,1,0,1,0.395,102,142,24
Season Totals,Last 365 days,68,61,264,229,33,75,10,2,1,18,26,2,29,41,0.328,0.401,0.402,0.803,92,0,1,2,3,0,2,0.39,86,,62
Platoon Splits,vs RHP,45,,143,125,18,44,6,1,1,11,13,1,16,23,0.352,0.42,0.44,0.86,55,0,0,0,2,0,1,0.418,99,145,36
Platoon Splits,vs LHP,28,,59,47,7,16,2,1,0,6,9,1,10,8,0.34,0.448,0.426,0.874,20,0,0,1,1,0,0,0.4,102,148,13
Platoon Splits,vs RHP as LHB,45,,143,125,,44,6,1,1,11,0,0,16,23,0.352,0.42,0.44,0.86,55,0,0,0,2,0,1,0.418,99,137,36
Platoon Splits,vs LHP as RHB,28,,59,47,,16,2,1,0,6,0,0,10,8,0.34,0.448,0.426,0.874,20,0,0,1,1,0,0,0.4,102,142,13
Platoon Splits,vs RH Starter,32,32,139,115,19,40,6,1,1,11,17,1,20,21,0.348,0.435,0.444,0.878,51,0,0,1,3,0,1,0.406,103,150,32
Platoon Splits,vs LH Starter,15,15,63,57,6,20,2,1,0,6,5,1,6,10,0.351,0.413,0.421,0.834,24,0,0,0,0,0,0,0.426,93,137,17
Home or Away,Home,27,27,113,99,14,32,5,1,0,10,8,2,12,20,0.323,0.389,0.394,0.783,39,0,0,0,2,0,1,0.395,81,120,26
Home or Away,Away,20,20,89,73,11,28,3,1,1,7,14,0,14,11,0.384,0.477,0.493,0.971,36,0,0,1,1,0,0,0.436,125,180,23
First or Second Half,1st Half,15,15,61,54,7,19,4,0,0,3,3,1,7,10,0.352,0.426,0.426,0.852,23,0,0,0,0,0,0,0.432,97,144,15
First or Second Half,2nd Half,32,32,141,118,18,41,4,2,1,14,19,1,19,21,0.348,0.429,0.441,0.869,52,0,0,1,3,0,1,0.404,101,144,34
Months,June,3,3,11,9,1,2,1,0,0,0,0,0,2,3,0.222,0.364,0.333,0.697,3,0,0,0,0,0,0,0.333,61,98,1
Months,July,24,24,103,86,14,34,4,1,1,12,9,2,13,16,0.395,0.461,0.5,0.961,43,0,0,1,3,0,0,0.458,122,166,28
Months,August,20,20,88,77,10,24,3,1,0,5,13,0,11,12,0.312,0.398,0.377,0.774,29,0,0,0,0,0,1,0.369,80,119,20
Game Outcome for Team,in Wins,17,17,74,58,10,21,1,0,0,8,9,2,13,11,0.362,0.466,0.379,0.845,22,0,0,1,2,0,1,0.429,96,111,20
Game Outcome for Team,in Losses,30,30,128,114,15,39,7,2,1,9,13,0,13,20,0.342,0.406,0.465,0.871,53,0,0,0,1,0,0,0.404,102,197,29
Starter or Substitute,as Starter,47,47,202,172,25,60,8,2,1,17,22,2,26,31,0.349,0.428,0.436,0.864,75,0,0,1,3,0,1,0.413,100,145,49
Defensive Positions,as 2B,1,,4,3,1,2,0,0,0,0,0,1,1,0,0.667,0.75,0.667,1.417,2,0,0,0,0,0,0,0.667,228,323,2
Defensive Positions,as SS,46,,198,169,24,58,8,2,1,17,22,1,25,31,0.343,0.421,0.432,0.853,73,0,0,1,3,0,1,0.407,97,135,47
Leading Off Inning,1st Batter G,25,,25,23,,9,1,0,1,1,,,2,3,0.391,0.44,0.565,1.005,13,0,0,0,0,0,0,0.421,132,180,7
Leading Off Inning,Leadoff Inn.,41,,71,62,,22,4,0,1,1,,,9,6,0.355,0.437,0.468,0.904,29,0,0,0,0,0,0,0.382,109,162,17
Batting Order Positions,Batting 1st,25,25,111,95,13,31,4,2,1,9,16,0,14,16,0.326,0.409,0.442,0.851,42,0,0,1,1,0,1,0.38,97,134,24
Batting Order Positions,Batting 2nd,3,3,15,13,2,5,1,0,0,2,2,0,1,2,0.385,0.4,0.462,0.862,6,0,0,0,1,0,0,0.417,99,129,4
Batting Order Positions,Batting 5th,1,1,4,3,1,2,0,0,0,1,2,0,1,1,0.667,0.75,0.667,1.417,2,0,0,0,0,0,0,1.0,228,302,2
Batting Order Positions,Batting 6th,10,10,41,37,5,11,3,0,0,0,2,0,4,8,0.297,0.366,0.378,0.744,14,0,0,0,0,0,0,0.379,72,119,8
Batting Order Positions,Batting 7th,6,6,24,18,4,9,0,0,0,4,0,2,5,3,0.5,0.583,0.5,1.083,9,0,0,0,1,0,0,0.563,151,221,9
Batting Order Positions,Batting 8th,2,2,7,6,0,2,0,0,0,1,0,0,1,1,0.333,0.429,0.333,0.762,2,0,0,0,0,0,0,0.4,77,137,2
Swung or Took First Pitch of PA,Swung at 1st Pitch,39,,59,52,,20,1,1,1,8,,,4,3,0.385,0.414,0.5,0.914,26,0,0,1,2,0,0,0.38,111,165,17
Swung or Took First Pitch of PA,Took 1st Pitch,47,,143,120,,40,7,1,0,9,,,22,28,0.333,0.434,0.408,0.842,49,0,0,0,1,0,1,0.43,95,138,32
Count/Balls-Strikes,First Pitch,25,,31,30,3,10,1,0,1,2,7,0,0,0,0.333,0.333,0.467,0.8,14,0,0,1,0,0,0,0.31,85,81,8
Count/Balls-Strikes,1-0 Count,17,,18,17,0,10,3,0,0,4,1,0,0,0,0.588,0.556,0.765,1.32,13,0,0,0,1,0,0,0.556,205,196,7
Count/Balls-Strikes,2-0 Count,4,,4,4,0,3,0,0,0,1,0,1,0,0,0.75,0.75,0.75,1.5,3,0,0,0,0,0,0,0.75,247,239,3
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,17,,19,19,4,8,0,0,0,2,2,1,0,0,0.421,0.421,0.421,0.842,8,0,0,0,0,0,0,0.421,95,109,8
Count/Balls-Strikes,1-1 Count,10,,13,13,4,5,0,0,0,0,2,0,0,0,0.385,0.385,0.385,0.769,5,0,0,0,0,0,0,0.385,78,92,5
Count/Balls-Strikes,2-1 Count,9,,9,9,3,4,1,1,0,0,0,0,0,0,0.444,0.444,0.778,1.222,7,0,0,0,0,0,0,0.444,182,163,2
Count/Balls-Strikes,3-1 Count,9,,9,5,1,3,1,0,0,3,0,0,4,0,0.6,0.778,0.8,1.578,4,0,0,0,0,0,0,0.6,265,137,2
Count/Balls-Strikes,0-2 Count,10,,14,14,2,1,0,0,0,0,2,0,0,7,0.071,0.071,0.071,0.143,1,0,0,0,0,0,1,0.143,-67,-23,1
Count/Balls-Strikes,1-2 Count,16,,20,20,4,5,1,0,0,0,8,0,0,9,0.25,0.25,0.3,0.55,6,0,0,0,0,0,0,0.455,27,170,4
Count/Balls-Strikes,2-2 Count,17,,21,19,2,5,0,1,0,3,0,0,0,8,0.263,0.238,0.368,0.607,7,0,0,0,2,0,0,0.385,40,170,4
Count/Balls-Strikes,Full Count,32,,41,22,2,6,1,0,0,2,0,0,19,7,0.273,0.61,0.318,0.928,7,0,0,0,0,0,0,0.4,116,130,5
Count/Balls-Strikes,After 1-0,43,,84,68,,27,5,1,0,9,,,15,13,0.397,0.5,0.5,1.0,34,0,0,0,1,0,0,0.482,132,150,21
Count/Balls-Strikes,After 2-0,19,,25,16,,8,1,1,0,3,,,9,4,0.5,0.68,0.688,1.368,11,0,0,0,0,0,0,0.667,217,185,6
Count/Balls-Strikes,After 3-0,6,,7,1,,0,0,0,0,0,,,6,1,0.0,0.857,0.0,0.857,0,0,0,0,0,0,0,,100,17,0
Count/Balls-Strikes,After 0-1,41,,87,74,,23,2,1,0,6,,,11,18,0.311,0.391,0.365,0.756,27,0,0,0,2,0,1,0.397,75,156,20
Count/Balls-Strikes,After 1-1,41,,75,59,,18,3,1,0,4,,,16,13,0.305,0.453,0.39,0.843,23,0,0,0,0,0,0,0.391,95,158,14
