Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,115,484,456,56,138,21,3,15,71,1,0,19,75,0.303,0.329,0.461,0.789,210,19,2,0,7,1,4,0.33,100,120,99
Season Totals,Last 7 days,7,7,30,29,6,12,0,0,3,4,0,0,1,3,0.414,0.433,0.724,1.157,21,3,0,0,0,0,0,0.391,189,233,9
Season Totals,Last 14 days,13,13,55,54,8,17,1,0,4,10,0,0,1,14,0.315,0.327,0.556,0.883,30,3,0,0,0,0,0,0.361,120,145,12
Season Totals,Last 28 days,25,25,108,103,15,38,4,1,7,17,0,0,4,20,0.369,0.398,0.631,1.029,65,5,1,0,0,0,0,0.408,158,179,26
Season Totals,Last 365 days,139,132,563,528,70,157,25,3,20,85,1,0,24,94,0.297,0.329,0.47,0.798,248,21,4,0,7,1,4,0.325,102,,109
Platoon Splits,vs RHP,113,,349,332,40,103,16,3,9,50,1,0,12,54,0.31,0.332,0.458,0.79,152,16,1,0,4,0,3,0.344,100,121,75
Platoon Splits,vs LHP,69,,135,124,16,35,5,0,6,21,0,0,7,21,0.282,0.319,0.468,0.786,58,3,1,0,3,1,1,0.29,99,118,24
Platoon Splits,vs RHP as RHB,113,,349,332,,103,16,3,9,50,0,0,12,54,0.31,0.332,0.458,0.79,152,16,1,0,4,0,3,0.344,100,128,75
Platoon Splits,vs LHP as RHB,69,,135,124,,35,5,0,6,21,0,0,7,21,0.282,0.319,0.468,0.786,58,3,1,0,3,1,1,0.29,99,112,24
Platoon Splits,vs RH Starter,84,82,344,327,43,95,12,2,13,48,1,0,13,53,0.291,0.314,0.459,0.773,150,16,0,0,4,1,3,0.309,95,115,68
Platoon Splits,vs LH Starter,33,33,140,129,13,43,9,1,2,23,0,0,6,22,0.333,0.364,0.465,0.829,60,3,2,0,3,0,1,0.38,112,132,31
Home or Away,Home,60,59,241,228,33,75,9,2,10,37,0,0,10,36,0.329,0.353,0.518,0.87,118,8,0,0,3,0,1,0.351,120,139,54
Home or Away,Away,57,56,243,228,23,63,12,1,5,34,1,0,9,39,0.276,0.305,0.404,0.708,92,11,2,0,4,1,3,0.309,80,101,45
First or Second Half,1st Half,85,83,347,328,39,93,16,2,7,49,1,0,13,52,0.284,0.308,0.409,0.717,134,13,1,0,5,0,4,0.314,82,102,68
First or Second Half,2nd Half,32,32,137,128,17,45,5,1,8,22,0,0,6,23,0.352,0.38,0.594,0.973,76,6,1,0,2,1,0,0.374,144,166,31
Months,April/March,27,27,116,108,13,31,5,1,3,13,0,0,7,16,0.287,0.328,0.435,0.763,47,1,0,0,1,0,3,0.311,94,117,22
Months,May,25,23,89,85,5,17,5,0,0,10,0,0,1,15,0.2,0.214,0.259,0.472,22,7,1,0,2,0,0,0.236,21,36,12
Months,June,20,20,85,80,16,29,3,1,4,18,1,0,3,9,0.363,0.377,0.575,0.952,46,3,0,0,2,0,1,0.362,139,161,21
Months,July,25,25,107,101,12,34,6,1,3,18,0,0,4,18,0.337,0.355,0.505,0.86,51,4,0,0,2,1,0,0.378,117,133,24
Months,August,20,20,87,82,10,27,2,0,5,12,0,0,4,17,0.329,0.368,0.537,0.904,44,4,1,0,0,0,0,0.367,128,149,20
Game Outcome for Team,in Wins,64,64,275,259,43,87,13,3,10,57,1,0,9,40,0.336,0.349,0.525,0.874,136,13,0,0,7,0,1,0.357,120,108,61
Game Outcome for Team,in Losses,53,51,209,197,13,51,8,0,5,14,0,0,10,35,0.259,0.301,0.376,0.677,74,6,2,0,0,1,3,0.293,73,130,38
Starter or Substitute,as Starter,115,115,482,454,56,138,21,3,15,71,1,0,19,75,0.304,0.33,0.463,0.793,210,19,2,0,7,1,4,0.332,101,121,99
Starter or Substitute,as Sub,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as C,83,,336,319,38,98,14,3,11,53,1,0,11,44,0.307,0.33,0.473,0.804,151,15,2,0,4,1,3,0.325,103,132,70
Defensive Positions,as 1B,4,,16,15,2,6,0,0,0,1,0,0,1,4,0.4,0.438,0.4,0.838,6,1,0,0,0,0,0,0.546,120,135,6
Defensive Positions,as DH,32,,131,121,16,34,7,0,4,17,0,0,7,27,0.281,0.313,0.438,0.751,53,3,0,0,3,0,1,0.323,90,100,23
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as PH for DH,1,,1,1,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,78,,111,102,,32,7,1,3,3,,,8,21,0.314,0.369,0.49,0.86,50,0,1,0,0,0,1,0.372,118,145,21
Batting Order Positions,Batting 3rd,9,8,35,34,6,12,1,0,3,4,0,0,1,7,0.353,0.371,0.647,1.019,22,3,0,0,0,0,0,0.375,153,156,8
Batting Order Positions,Batting 4th,52,52,227,211,28,69,9,2,5,35,1,0,10,33,0.327,0.352,0.46,0.812,97,7,1,0,5,1,1,0.36,107,120,53
Batting Order Positions,Batting 5th,24,24,101,96,9,26,4,0,4,12,0,0,5,19,0.271,0.307,0.438,0.744,42,2,0,0,0,0,3,0.301,88,105,18
Batting Order Positions,Batting 6th,14,13,53,51,9,18,2,1,2,11,0,0,2,5,0.353,0.377,0.549,0.926,28,3,0,0,0,0,0,0.364,134,168,13
