Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,117,115,510,466,45,128,26,1,10,55,0,0,38,79,0.275,0.331,0.399,0.731,186,9,3,0,3,0,5,0.311,100,105,91
Season Totals,Last 7 days,6,6,23,21,2,8,3,0,0,3,0,0,1,3,0.381,0.435,0.524,0.959,11,0,1,0,0,0,0,0.444,163,177,5
Season Totals,Last 14 days,13,13,51,47,4,13,3,0,0,5,0,0,2,8,0.277,0.314,0.34,0.654,16,0,1,0,1,0,0,0.325,80,84,10
Season Totals,Last 28 days,23,23,94,85,10,24,5,0,2,9,0,0,7,18,0.282,0.34,0.412,0.752,35,0,1,0,1,0,0,0.333,106,107,17
Season Totals,Last 365 days,147,143,637,575,65,166,35,1,16,73,0,0,54,95,0.289,0.353,0.437,0.79,251,13,5,0,3,0,6,0.321,116,,114
Platoon Splits,vs RHP,113,,393,359,27,93,15,1,7,43,0,0,30,68,0.259,0.321,0.365,0.686,131,7,3,0,1,0,4,0.302,89,94,70
Platoon Splits,vs LHP,52,,117,107,18,35,11,0,3,12,0,0,8,11,0.327,0.368,0.514,0.882,55,2,0,0,2,0,1,0.337,140,145,21
Platoon Splits,vs RHP as RHB,113,,393,359,,93,15,1,7,43,0,0,30,68,0.259,0.321,0.365,0.686,131,7,3,0,1,0,4,0.302,89,100,70
Platoon Splits,vs LHP as RHB,52,,117,107,,35,11,0,3,12,0,0,8,11,0.327,0.368,0.514,0.882,55,2,0,0,2,0,1,0.337,140,139,21
Platoon Splits,vs RH Starter,88,86,382,349,27,93,14,1,7,42,0,0,29,64,0.267,0.327,0.373,0.7,130,9,3,0,1,0,4,0.308,92,97,71
Platoon Splits,vs LH Starter,29,29,128,117,18,35,12,0,3,13,0,0,9,15,0.299,0.344,0.479,0.822,56,0,0,0,2,0,1,0.317,124,129,20
Home or Away,Home,68,66,284,265,27,76,13,0,6,32,0,0,17,45,0.287,0.331,0.404,0.735,107,3,1,0,1,0,4,0.326,101,104,57
Home or Away,Away,49,49,226,201,18,52,13,1,4,23,0,0,21,34,0.259,0.332,0.393,0.725,79,6,2,0,2,0,1,0.291,99,107,34
First or Second Half,1st Half,94,92,416,381,35,104,21,1,8,46,0,0,31,61,0.273,0.329,0.396,0.726,151,9,2,0,2,0,5,0.306,99,105,74
First or Second Half,2nd Half,23,23,94,85,10,24,5,0,2,9,0,0,7,18,0.282,0.34,0.412,0.752,35,0,1,0,1,0,0,0.333,106,108,17
Months,April/March,30,30,131,118,11,26,5,0,1,11,0,0,10,22,0.22,0.29,0.288,0.578,34,2,2,0,1,0,3,0.26,60,67,20
Months,May,27,25,117,104,11,28,5,0,3,14,0,0,13,12,0.269,0.35,0.404,0.754,42,3,0,0,0,0,2,0.281,107,118,20
Months,June,26,26,119,114,9,37,6,1,3,15,0,0,4,20,0.325,0.345,0.474,0.818,54,3,0,0,1,0,0,0.37,123,127,27
Months,July,16,16,71,66,6,18,5,0,2,9,0,0,5,12,0.273,0.324,0.439,0.763,29,1,0,0,0,0,0,0.308,108,108,11
Months,August,18,18,72,64,8,19,5,0,1,6,0,0,6,13,0.297,0.361,0.422,0.783,27,0,1,0,1,0,0,0.353,115,118,13
Game Outcome for Team,in Wins,59,59,264,241,28,75,17,0,6,38,0,0,18,36,0.311,0.36,0.456,0.816,110,4,2,0,3,0,3,0.342,123,97,52
Game Outcome for Team,in Losses,58,56,246,225,17,53,9,1,4,17,0,0,20,43,0.236,0.301,0.338,0.639,76,5,1,0,0,0,2,0.275,76,118,39
Starter or Substitute,as Starter,115,115,506,462,45,128,26,1,10,55,0,0,38,79,0.277,0.334,0.403,0.737,186,8,3,0,3,0,5,0.314,102,107,91
Starter or Substitute,as Sub,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Defensive Positions,as 1B,101,,437,398,41,115,23,1,9,51,0,0,34,65,0.289,0.346,0.42,0.765,167,6,2,0,3,0,4,0.324,110,111,82
Defensive Positions,as DH,16,,71,66,4,13,3,0,1,4,0,0,4,14,0.197,0.254,0.288,0.541,19,2,1,0,0,0,1,0.235,49,46,9
Defensive Positions,as PH,2,,2,2,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,1st Batter G,109,,109,101,,26,6,0,4,4,,,6,22,0.257,0.312,0.436,0.748,44,0,2,0,0,0,1,0.293,104,108,16
Leading Off Inning,Leadoff Inn.,114,,203,190,,49,8,0,7,7,,,11,33,0.258,0.305,0.411,0.716,78,0,2,0,0,0,3,0.28,95,104,34
Batting Order Positions,Batting 1st,109,109,483,441,44,124,26,1,10,55,0,0,36,76,0.281,0.338,0.413,0.75,182,8,3,0,3,0,5,0.318,105,104,87
Batting Order Positions,Batting 2nd,3,3,12,11,0,2,0,0,0,0,0,0,1,1,0.182,0.25,0.182,0.432,2,0,0,0,0,0,0,0.2,21,18,2
Batting Order Positions,Batting 3rd,3,3,11,10,1,2,0,0,0,0,0,0,1,2,0.2,0.273,0.2,0.473,2,0,0,0,0,0,0,0.25,33,26,2
Batting Order Positions,Batting 4th,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Batting Order Positions,Batting 5th,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Swung or Took First Pitch of PA,Swung at 1st Pitch,87,,130,123,,34,4,0,5,16,,,5,16,0.276,0.3,0.431,0.731,53,3,0,0,2,0,3,0.279,99,108,25
Swung or Took First Pitch of PA,Took 1st Pitch,117,,380,343,,94,22,1,5,39,,,33,63,0.274,0.342,0.388,0.73,133,6,3,0,1,0,2,0.323,101,104,66
Count/Balls-Strikes,First Pitch,50,,56,56,9,15,1,0,3,7,0,0,0,0,0.268,0.268,0.446,0.714,25,1,0,0,0,0,2,0.226,93,58,11
Count/Balls-Strikes,1-0 Count,29,,31,31,2,12,3,0,0,0,0,0,0,0,0.387,0.387,0.484,0.871,15,2,0,0,0,0,0,0.387,138,98,9
Count/Balls-Strikes,2-0 Count,14,,15,15,,4,2,0,0,2,0,0,0,0,0.267,0.267,0.4,0.667,6,1,0,0,0,0,0,0.267,81,42,2
Count/Balls-Strikes,3-0 Count,4,,4,0,,0,0,0,0,0,0,0,4,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,36,,45,44,7,18,2,1,2,11,0,0,0,0,0.409,0.4,0.636,1.036,28,1,0,0,1,0,1,0.372,180,145,13
Count/Balls-Strikes,1-1 Count,41,,52,51,4,17,4,0,1,7,0,0,0,0,0.333,0.327,0.471,0.798,24,2,0,0,1,0,0,0.314,117,90,12
Count/Balls-Strikes,2-1 Count,32,,36,34,3,7,1,0,0,3,0,0,0,0,0.206,0.25,0.235,0.485,8,0,2,0,0,0,0,0.206,34,13,6
Count/Balls-Strikes,3-1 Count,30,,32,14,,3,2,0,0,3,0,0,18,0,0.214,0.656,0.357,1.013,5,0,0,0,0,0,0,0.214,188,50,1
Count/Balls-Strikes,0-2 Count,31,,35,34,3,8,3,0,1,5,0,0,0,15,0.235,0.229,0.412,0.64,14,1,0,0,1,0,0,0.368,72,228,4
Count/Balls-Strikes,1-2 Count,44,,55,54,4,15,3,0,0,5,0,0,0,21,0.278,0.291,0.333,0.624,18,0,1,0,0,0,0,0.455,71,207,12
Count/Balls-Strikes,2-2 Count,54,,74,74,5,14,3,0,2,6,0,0,0,25,0.189,0.189,0.311,0.5,23,1,0,0,0,0,1,0.255,35,121,9
Count/Balls-Strikes,Full Count,64,,75,59,8,15,2,0,1,6,0,0,16,18,0.254,0.413,0.339,0.752,20,0,0,0,0,0,1,0.35,110,93,12
Count/Balls-Strikes,After 1-0,106,,212,185,,48,14,0,3,22,,,25,28,0.26,0.354,0.384,0.738,71,5,2,0,0,0,0,0.292,103,84,31
Count/Balls-Strikes,After 2-0,58,,80,61,,12,6,0,0,4,,,19,5,0.197,0.388,0.295,0.683,18,1,0,0,0,0,0,0.214,91,42,6
Count/Balls-Strikes,After 3-0,25,,27,14,,3,2,0,0,2,,,13,3,0.214,0.593,0.357,0.95,5,0,0,0,0,0,0,0.273,169,51,1
Count/Balls-Strikes,After 0-1,110,,242,225,,65,11,1,4,26,,,13,51,0.289,0.326,0.4,0.726,90,3,1,0,3,0,3,0.353,99,141,49
Count/Balls-Strikes,After 1-1,97,,209,191,,50,11,0,3,23,,,14,45,0.262,0.321,0.367,0.687,70,3,3,0,1,0,2,0.326,89,108,36
Count/Balls-Strikes,After 2-1,78,,121,101,,19,4,0,1,11,,,18,21,0.188,0.322,0.257,0.58,26,1,2,0,0,0,0,0.228,62,48,14
Count/Balls-Strikes,After 3-1,48,,55,32,,6,3,0,0,5,,,23,6,0.188,0.527,0.281,0.809,9,0,0,0,0,0,0,0.231,130,54,3
Count/Balls-Strikes,After 0-2,65,,89,83,,21,3,0,2,10,,,5,29,0.253,0.292,0.361,0.654,30,1,0,0,1,0,0,0.359,79,189,16
Count/Balls-Strikes,After 1-2,82,,128,120,,32,5,0,2,10,,,7,40,0.267,0.313,0.358,0.671,43,0,1,0,0,0,2,0.385,84,170,25
Count/Balls-Strikes,After 2-2,80,,126,115,,26,4,0,3,10,,,11,37,0.226,0.294,0.339,0.633,39,1,0,0,0,0,2,0.307,74,117,19
Count/Balls-Strikes,Zero Balls,88,,136,134,19,41,6,1,6,23,0,0,0,15,0.306,0.302,0.5,0.802,67,3,0,0,2,0,3,0.304,116,121,28
Count/Balls-Strikes,Zero Strikes,85,,106,102,11,31,6,0,3,9,0,0,4,0,0.304,0.33,0.451,0.781,46,4,0,0,0,0,2,0.283,113,64,22
Count/Balls-Strikes,Three Balls,77,,111,73,8,18,4,0,1,9,0,0,38,18,0.247,0.505,0.343,0.847,25,0,0,0,0,0,1,0.315,138,80,13
Count/Balls-Strikes,Two Strikes,109,,239,221,20,52,11,0,4,22,0,0,16,79,0.235,0.289,0.339,0.628,75,2,1,0,1,0,2,0.345,72,145,37
Count/Balls-Strikes,Batter Ahead,106,,193,153,13,41,10,0,1,14,0,0,38,18,0.268,0.42,0.353,0.773,54,3,2,0,0,0,1,0.299,115,62,30
Count/Balls-Strikes,Even Count,93,,182,181,18,46,8,0,6,20,0,0,0,25,0.254,0.253,0.398,0.651,72,4,0,0,1,0,3,0.265,76,87,32
Count/Balls-Strikes,Pitcher Ahead,80,,135,132,14,41,8,1,3,21,0,0,0,36,0.311,0.311,0.455,0.766,60,2,1,0,2,0,1,0.4,108,195,29
Number of Outs in Inning,0 outs,115,,241,227,23,61,12,0,8,14,0,0,11,41,0.269,0.307,0.427,0.734,97,4,2,0,1,0,3,0.296,100,103,41
Number of Outs in Inning,1 out,85,,122,112,12,30,6,1,1,20,0,0,8,18,0.268,0.312,0.366,0.678,41,5,0,0,2,0,1,0.305,86,90,22
Number of Outs in Inning,2 outs,93,,147,127,10,37,8,0,1,21,0,0,19,20,0.291,0.388,0.378,0.766,48,0,1,0,0,0,1,0.34,112,122,28
Bases Occupied,RISP,71,,103,86,31,23,4,1,1,43,0,0,13,17,0.267,0.359,0.372,0.731,32,4,1,0,3,0,1,0.31,102,98,17
Bases Occupied,---,115,,344,321,8,88,18,0,8,8,0,0,21,50,0.274,0.323,0.405,0.728,130,0,2,0,0,0,4,0.304,99,111,62
Bases Occupied,Men On,91,,166,145,37,40,8,1,2,47,0,0,17,29,0.276,0.349,0.386,0.736,56,9,1,0,3,0,1,0.325,102,99,29
Bases Occupied,1--,59,,63,59,6,17,4,0,1,4,0,0,4,12,0.288,0.333,0.407,0.74,24,5,0,0,0,0,0,0.348,103,100,12
Bases Occupied,-2-,39,,42,37,6,10,4,0,0,10,0,0,5,11,0.27,0.357,0.378,0.736,14,0,0,0,0,0,0,0.385,103,101,6
Bases Occupied,--3,9,,9,6,1,1,0,0,0,2,0,0,3,0,0.167,0.444,0.167,0.611,1,0,0,0,0,0,1,0.167,76,68,1
Bases Occupied,12-,22,,22,18,6,1,0,1,0,2,0,0,3,5,0.056,0.227,0.167,0.394,3,1,1,0,0,0,0,0.077,10,14,0
Bases Occupied,1-3,12,,12,9,5,2,0,0,0,7,0,0,0,1,0.222,0.167,0.222,0.389,2,2,0,0,3,0,0,0.182,6,-4,2
Bases Occupied,-23,10,,9,9,6,6,0,0,1,14,0,0,0,0,0.667,0.667,1.0,1.667,9,0,0,0,0,0,0,0.625,352,313,5
Bases Occupied,123,10,,9,7,7,3,0,0,0,8,0,0,2,0,0.429,0.556,0.429,0.984,3,1,0,0,0,0,0,0.429,176,186,3
Bases Occupied,"on 1st,",51,,63,59,17,15,3,1,1,12,0,0,1,13,0.254,0.254,0.39,0.644,23,9,0,0,3,0,0,0.292,75,68,10
Bases Occupied,"on 3rd,",19,,20,16,12,5,0,0,0,15,0,0,1,0,0.313,0.3,0.313,0.613,5,3,0,0,3,0,1,0.263,69,48,5
Bases Occupied,"on 3rd, 2 out",18,,19,15,7,7,0,0,1,16,0,0,4,1,0.467,0.579,0.667,1.246,10,0,0,0,0,0,0,0.462,242,248,6
Bases Occupied,"0 out, ---",114,,203,190,8,50,8,0,8,8,0,0,11,33,0.263,0.31,0.432,0.742,82,0,2,0,0,0,3,0.282,102,111,34
Bases Occupied,"0 out, 1--",21,,18,18,4,8,2,0,0,0,0,0,0,5,0.444,0.444,0.556,1.0,10,2,0,0,0,0,0,0.615,174,161,6
Bases Occupied,"0 out, -2-",9,,9,9,3,2,2,0,0,2,0,0,0,2,0.222,0.222,0.444,0.667,4,0,0,0,0,0,0,0.286,78,79,0
Bases Occupied,"0 out, 12-",6,,5,5,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, 1-3",4,,4,3,1,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0.0,-100,-100,0
Bases Occupied,"0 out, -23",1,,1,1,3,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1.0,453,379,1
Bases Occupied,"0 out, 123",1,,1,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Bases Occupied,"1 out, ---",52,,68,62,,17,4,0,0,0,0,0,6,9,0.274,0.338,0.339,0.677,21,0,0,0,0,0,0,0.321,87,100,13
