Split Type,Split,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,13,235.0,203,27.0,44,10,1,7,5,0,27,57,2.11,0.217,0.316,0.379,0.696,77.0,4.0,3.0,0,1,0,0,0.264,100,96,26
Season Totals,Last 7 days,1,21.0,19,4.0,4,1,0,3,1,0,2,5,2.5,0.211,0.286,0.737,1.023,14.0,0.0,0.0,0,0,0,0,0.091,185,183,0
Season Totals,Last 14 days,2,44.0,40,5.0,9,1,0,4,1,0,3,10,3.33,0.225,0.296,0.55,0.846,22.0,1.0,1.0,0,0,0,0,0.192,139,129,4
Season Totals,Last 28 days,5,92.0,80,11.0,16,2,0,4,1,0,9,21,2.33,0.2,0.297,0.375,0.672,30.0,1.0,2.0,0,0,0,0,0.218,93,84,10
Season Totals,Last 365 days,13,235.0,203,27.0,44,10,1,7,5,0,27,57,2.11,0.217,0.316,0.379,0.696,77.0,4.0,3.0,0,1,0,0,0.264,100,,26
Platoon Splits,vs RHB,13,131.0,115,17.0,29,6,1,5,3,0,12,30,2.5,0.252,0.336,0.452,0.788,52.0,2.0,3.0,0,1,0,0,0.296,126,123,17
Platoon Splits,vs LHB,13,104.0,88,7.0,15,4,0,2,2,0,15,27,1.8,0.171,0.291,0.284,0.575,25.0,2.0,0.0,0,0,0,0,0.22,67,62,9
Platoon Splits,vs RHB as RHP,13,131.0,115,17.0,29,6,1,5,3,0,12,30,2.5,0.252,0.336,0.452,0.788,52.0,2.0,3.0,0,1,0,0,0.296,126,127,17
Platoon Splits,vs LHB as RHP,13,104.0,88,7.0,15,4,0,2,2,0,15,27,1.8,0.171,0.291,0.284,0.575,25.0,2.0,0.0,0,0,0,0,0.22,67,59,9
Home or Away,Home,5,102.0,91,8.0,19,5,0,3,1,0,9,24,2.67,0.209,0.294,0.363,0.657,33.0,4.0,2.0,0,0,0,0,0.25,89,87,11
Home or Away,Away,8,133.0,112,19.0,25,5,1,4,4,0,18,33,1.83,0.223,0.333,0.393,0.726,44.0,0.0,1.0,0,1,0,0,0.276,109,102,15
First or Second Half,1st Half,8,143.0,123,16.0,28,8,1,3,4,0,18,36,2.0,0.228,0.329,0.382,0.711,47.0,3.0,1.0,0,1,0,0,0.294,105,102,16
First or Second Half,2nd Half,5,92.0,80,11.0,16,2,0,4,1,0,9,21,2.33,0.2,0.297,0.375,0.672,30.0,1.0,2.0,0,0,0,0,0.218,93,86,10
Months,April/March,4,72.0,63,8.0,19,5,0,2,3,0,8,16,2.0,0.302,0.389,0.476,0.865,30.0,2.0,1.0,0,0,0,0,0.378,149,148,12
Months,June,1,9.0,6,5.0,2,1,0,0,0,0,3,1,0.33,0.333,0.556,0.5,1.056,3.0,0.0,0.0,0,0,0,0,0.4,208,201,1
