Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,125,123,480,433,57,112,27,1,19,63,22,8,32,110,0.259,0.325,0.457,0.782,198,11,11,3,1,1,1,0.305,100,118,65
Season Totals,Last 7 days,7,7,31,27,3,5,1,0,2,2,0,1,4,9,0.185,0.29,0.444,0.735,12,2,0,0,0,1,0,0.188,86,112,2
Season Totals,Last 14 days,12,12,54,48,5,11,2,0,3,3,2,1,6,17,0.229,0.315,0.458,0.773,22,3,0,0,0,1,0,0.286,97,117,6
Season Totals,Last 28 days,24,24,104,87,14,24,4,1,6,17,4,2,13,25,0.276,0.388,0.552,0.94,48,3,3,1,0,1,0,0.321,140,157,13
Season Totals,Last 365 days,142,140,557,498,64,123,30,1,20,67,22,9,40,133,0.247,0.32,0.432,0.751,215,12,14,3,2,1,1,0.297,93,,72
Platoon Splits,vs RHP,121,,383,345,41,77,23,0,14,50,14,5,24,93,0.223,0.292,0.412,0.704,142,10,10,3,1,0,1,0.264,80,97,40
Platoon Splits,vs LHP,51,,97,88,16,35,4,1,5,13,8,3,8,17,0.398,0.454,0.636,1.09,56,1,1,0,0,1,0,0.455,179,202,25
Platoon Splits,vs RHP as RHB,121,,383,345,,77,23,0,14,50,0,0,24,93,0.223,0.292,0.412,0.704,142,10,10,3,1,0,1,0.264,80,103,40
Platoon Splits,vs LHP as RHB,51,,97,88,,35,4,1,5,13,0,0,8,17,0.398,0.454,0.636,1.09,56,1,1,0,0,1,0,0.455,179,195,25
Platoon Splits,vs RH Starter,99,97,373,337,41,81,22,0,13,49,19,8,23,92,0.24,0.308,0.421,0.73,142,9,10,3,0,0,1,0.293,87,104,46
Platoon Splits,vs LH Starter,26,26,107,96,16,31,5,1,6,14,3,0,9,18,0.323,0.383,0.583,0.967,56,2,1,0,1,1,0,0.343,145,168,19
Home or Away,Home,63,62,233,211,29,59,16,1,8,29,8,3,15,56,0.28,0.345,0.479,0.824,101,4,6,1,0,0,1,0.347,111,127,34
Home or Away,Away,62,61,247,222,28,53,11,0,11,34,14,5,17,54,0.239,0.306,0.437,0.743,97,7,5,2,1,1,0,0.266,90,110,31
First or Second Half,1st Half,93,91,345,319,37,80,22,0,12,42,14,6,17,80,0.251,0.302,0.433,0.735,138,8,7,1,1,0,1,0.298,88,106,46
First or Second Half,2nd Half,32,32,135,114,20,32,5,1,7,21,8,2,15,30,0.281,0.384,0.526,0.91,60,3,4,2,0,1,0,0.325,133,150,19
Months,April/March,29,28,108,101,8,23,7,0,2,11,4,2,6,33,0.228,0.278,0.356,0.634,36,2,1,0,0,0,0,0.318,63,81,14
Months,May,26,25,95,88,12,25,5,0,4,7,4,4,7,17,0.284,0.337,0.477,0.814,42,2,0,0,0,0,1,0.313,108,133,16
Months,June,26,26,97,88,13,21,7,0,5,20,3,0,2,23,0.239,0.292,0.489,0.78,43,2,5,1,1,0,0,0.262,97,113,9
Months,July,24,24,91,79,13,22,4,0,2,9,8,0,7,13,0.279,0.36,0.405,0.765,32,2,3,2,0,0,0,0.313,99,111,16
Months,August,20,20,89,77,11,21,4,1,6,16,3,2,10,24,0.273,0.371,0.584,0.955,45,3,2,0,0,1,0,0.319,142,161,10
Game Outcome for Team,in Wins,54,54,216,187,39,58,14,1,11,42,10,4,19,44,0.31,0.394,0.572,0.967,107,1,7,3,0,1,0,0.356,146,131,32
Game Outcome for Team,in Losses,71,69,264,246,18,54,13,0,8,21,12,4,13,66,0.22,0.269,0.37,0.639,91,10,4,0,1,0,1,0.266,64,116,33
Starter or Substitute,as Starter,123,123,475,428,56,111,26,1,19,63,22,7,32,108,0.259,0.326,0.458,0.784,196,11,11,3,1,1,1,0.305,101,118,65
Starter or Substitute,as Sub,2,0,5,5,1,1,1,0,0,0,0,1,0,2,0.2,0.2,0.4,0.6,2,0,0,0,0,0,0,0.333,49,78,0
