Split Type,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,1B
Season Totals,2024 Totals,102,101,406,367,45,73,12,2,15,39,15,3,31,143,0.199,0.267,0.365,0.632,134,5,4,2,2,0,2,0.275,100,76,44
Season Totals,Last 7 days,6,6,23,20,3,3,1,0,0,0,0,0,3,8,0.15,0.261,0.2,0.461,4,1,0,0,0,0,0,0.25,53,37,2
Season Totals,Last 14 days,11,11,43,39,4,10,3,0,1,3,1,0,4,15,0.256,0.326,0.41,0.736,16,1,0,0,0,0,0,0.391,134,104,6
Season Totals,Last 28 days,21,20,78,69,7,14,3,0,2,4,3,2,8,30,0.203,0.295,0.333,0.628,23,2,1,0,0,0,0,0.324,102,73,9
Season Totals,Last 365 days,140,139,573,517,64,108,21,2,21,55,22,4,46,190,0.209,0.279,0.379,0.658,196,8,5,2,3,0,2,0.282,108,,64
Platoon Splits,vs RHP,99,,317,290,36,61,9,2,13,35,11,1,20,112,0.21,0.267,0.39,0.656,113,5,3,2,2,0,2,0.287,107,83,37
Platoon Splits,vs LHP,43,,89,77,9,12,3,0,2,4,4,2,11,31,0.156,0.27,0.273,0.542,21,0,1,0,0,0,0,0.227,76,53,7
Platoon Splits,vs RHP as RHB,99,,317,290,,61,9,2,13,35,0,0,20,112,0.21,0.267,0.39,0.656,113,5,3,2,2,0,2,0.287,107,89,37
Platoon Splits,vs LHP as RHB,43,,89,77,,12,3,0,2,4,0,0,11,31,0.156,0.27,0.273,0.542,21,0,1,0,0,0,0,0.227,76,50,7
Platoon Splits,vs RH Starter,80,80,317,294,34,60,9,2,12,32,14,1,17,118,0.204,0.251,0.371,0.622,109,4,2,2,2,0,2,0.289,96,73,37
Platoon Splits,vs LH Starter,22,21,89,73,11,13,3,0,3,7,1,2,14,25,0.178,0.326,0.343,0.668,25,1,2,0,0,0,0,0.222,116,89,7
Home or Away,Home,51,51,200,182,21,33,4,0,6,14,9,1,14,75,0.181,0.251,0.302,0.554,55,5,3,1,0,0,1,0.267,77,54,23
Home or Away,Away,51,50,206,185,24,40,8,2,9,25,6,2,17,68,0.216,0.283,0.427,0.71,79,0,1,1,2,0,1,0.282,123,100,21
First or Second Half,1st Half,76,76,308,279,35,57,9,2,12,34,11,1,22,109,0.204,0.268,0.38,0.648,106,3,3,2,2,0,2,0.281,105,82,34
First or Second Half,2nd Half,26,25,98,88,10,16,3,0,3,5,4,2,9,34,0.182,0.265,0.318,0.584,28,2,1,0,0,0,0,0.255,86,62,10
Months,April/March,24,24,101,92,11,18,2,1,3,7,4,1,7,33,0.196,0.26,0.337,0.597,31,2,1,1,0,0,1,0.268,90,70,12
Months,May,16,16,65,59,3,9,2,0,0,4,1,0,5,24,0.153,0.215,0.186,0.402,11,1,0,0,1,0,1,0.25,32,18,7
Months,June,24,24,90,85,12,21,4,1,6,12,4,0,4,35,0.247,0.281,0.529,0.81,45,0,0,1,0,0,0,0.341,150,120,10
Months,July,23,22,91,79,12,13,1,0,4,12,3,2,8,28,0.165,0.264,0.329,0.593,26,1,3,0,1,0,0,0.188,89,62,8
Months,August,15,15,59,52,7,12,3,0,2,4,3,0,7,23,0.231,0.322,0.404,0.726,21,1,0,0,0,0,0,0.37,131,101,7
Game Outcome for Team,in Wins,44,43,177,154,31,35,5,2,8,23,9,2,20,54,0.227,0.328,0.442,0.769,68,1,3,0,0,0,1,0.294,144,85,20
Game Outcome for Team,in Losses,58,58,229,213,14,38,7,0,7,16,6,1,11,89,0.178,0.22,0.31,0.53,66,4,1,2,2,0,1,0.261,67,79,24
Starter or Substitute,as Starter,101,101,406,367,45,73,12,2,15,39,15,3,31,143,0.199,0.267,0.365,0.632,134,5,4,2,2,0,2,0.275,100,76,44
Starter or Substitute,as Sub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,0,,,,0
Defensive Positions,as 2B,101,,406,367,45,73,12,2,15,39,15,3,31,143,0.199,0.267,0.365,0.632,134,5,4,2,2,0,2,0.275,100,84,44
Leading Off Inning,1st Batter G,1,,1,1,,0,0,0,0,0,,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,-100,-100,0
Leading Off Inning,Leadoff Inn.,71,,87,76,,15,3,0,3,3,,,10,25,0.197,0.291,0.355,0.646,27,0,0,1,0,0,1,0.25,106,85,9
Batting Order Positions,Batting 1st,1,1,5,4,1,1,1,0,0,0,0,0,1,2,0.25,0.4,0.5,0.9,2,0,0,0,0,0,0,0.5,187,145,0
Batting Order Positions,Batting 2nd,17,17,73,66,9,13,1,1,3,6,3,1,5,20,0.197,0.264,0.379,0.643,25,1,1,1,0,0,1,0.233,103,68,8
Batting Order Positions,Batting 3rd,4,4,16,14,1,2,0,0,0,0,0,0,2,6,0.143,0.25,0.143,0.393,2,1,0,0,0,0,0,0.25,33,7,2
Batting Order Positions,Batting 5th,5,4,15,12,1,0,0,0,0,0,0,0,3,4,0.0,0.2,0.0,0.2,0,0,0,0,0,0,0,0.0,-25,-37,0
Batting Order Positions,Batting 6th,28,28,118,105,13,23,4,0,4,14,3,0,8,41,0.219,0.291,0.371,0.662,39,1,3,1,1,0,1,0.312,111,93,15
Batting Order Positions,Batting 7th,18,18,75,67,10,13,2,0,3,8,4,2,7,27,0.194,0.267,0.358,0.625,24,1,0,0,1,0,0,0.263,98,81,8
Batting Order Positions,Batting 8th,25,25,88,84,7,17,3,1,3,6,4,0,4,36,0.202,0.239,0.369,0.608,31,1,0,0,0,0,0,0.311,91,82,10
Batting Order Positions,Batting 9th,4,4,16,15,3,4,1,0,2,5,1,0,1,7,0.267,0.313,0.733,1.046,11,0,0,0,0,0,0,0.333,218,227,1
Swung or Took First Pitch of PA,Swung at 1st Pitch,85,,148,138,,26,3,1,6,15,,,6,50,0.188,0.233,0.355,0.588,49,1,2,2,0,0,1,0.244,85,66,16
Swung or Took First Pitch of PA,Took 1st Pitch,99,,258,229,,47,9,1,9,24,,,25,93,0.205,0.287,0.371,0.658,85,4,2,0,2,0,1,0.295,109,83,28
Count/Balls-Strikes,First Pitch,43,,48,46,8,11,0,1,3,8,4,1,0,0,0.239,0.239,0.478,0.717,22,1,0,2,0,0,0,0.186,121,55,7
Count/Balls-Strikes,1-0 Count,20,,22,21,5,7,1,0,1,2,2,0,0,0,0.333,0.364,0.524,0.887,11,0,1,0,0,0,0,0.3,180,98,5
Count/Balls-Strikes,2-0 Count,8,,9,9,5,5,2,0,2,6,1,0,0,0,0.556,0.556,1.444,2.0,13,1,0,0,0,0,0,0.429,504,294,1
Count/Balls-Strikes,3-0 Count,3,,3,0,,0,0,0,0,0,0,0,3,0,,1.0,,,0,0,0,0,0,0,0,,,,0
Count/Balls-Strikes,0-1 Count,32,,33,31,5,9,3,0,0,1,1,0,0,0,0.29,0.333,0.387,0.72,12,0,2,0,0,0,0,0.29,131,76,6
Count/Balls-Strikes,1-1 Count,20,,24,23,5,8,2,0,2,5,1,1,0,0,0.348,0.333,0.696,1.029,16,1,0,0,1,0,0,0.273,215,135,4
Count/Balls-Strikes,2-1 Count,16,,18,18,1,5,0,0,1,2,3,0,0,0,0.278,0.278,0.444,0.722,8,0,0,0,0,0,1,0.235,126,57,4
Count/Balls-Strikes,3-1 Count,16,,17,6,2,2,1,0,1,4,0,0,11,0,0.333,0.765,1.0,1.765,6,1,0,0,0,0,0,0.2,461,167,0
Count/Balls-Strikes,0-2 Count,37,,46,46,2,8,0,0,1,3,0,1,0,23,0.174,0.174,0.239,0.413,11,0,0,0,0,0,1,0.318,31,116,7
Count/Balls-Strikes,1-2 Count,57,,77,77,3,5,2,0,0,0,1,0,0,57,0.065,0.065,0.091,0.156,7,1,0,0,0,0,0,0.25,-51,-25,3
Count/Balls-Strikes,2-2 Count,50,,60,58,3,8,0,1,2,6,2,0,0,41,0.138,0.15,0.276,0.426,16,0,1,0,1,0,0,0.375,32,86,5
Count/Balls-Strikes,Full Count,41,,49,32,6,5,1,0,2,2,0,0,17,22,0.156,0.449,0.375,0.824,12,0,0,0,0,0,0,0.375,171,111,2
Count/Balls-Strikes,After 1-0,84,,145,120,,27,6,0,5,14,,,21,47,0.225,0.345,0.4,0.745,48,2,2,0,2,0,0,0.314,139,86,16
Count/Balls-Strikes,After 2-0,37,,47,30,,8,3,0,2,7,,,16,8,0.267,0.532,0.567,1.099,17,1,1,0,0,0,0,0.3,255,129,3
